# data from Vaupel 2007 Detection and Characterization of Tumor Hypoxia Using pO2 Histography
# 10.1089/ars.2007.1628
# histograms digitized from Figure 2
tissue	state	O2_mmHg	relative_proportion	estimated_proportion
breast	normal	2.5	0	0
breast	normal	5	0	0
breast	normal	7.5	0	0
breast	normal	10	0	0
breast	normal	12.5	0	0
breast	normal	15	0.5135	6
breast	normal	17.5	1.0349	11
breast	normal	20	1.5148	16
breast	normal	22.5	1.2501	13
breast	normal	25	1.5259	16
breast	normal	27.5	1.488	16
breast	normal	30	0.5167	6
breast	normal	32.5	1.0154	11
breast	normal	35	1.2534	13
breast	normal	37.5	2.5119	26
breast	normal	40	1.0114	11
breast	normal	42.5	2.0279	21
breast	normal	45	3.2863	34
breast	normal	47.5	3.5281	36
breast	normal	50	3.0216	31
breast	normal	52.5	3.5279	36
breast	normal	55	3.4938	36
breast	normal	57.5	4.0228	41
breast	normal	60	5.2812	54
breast	normal	62.5	4.7483	48
breast	normal	65	4.5327	46
breast	normal	67.5	4.7707	49
breast	normal	70	5.0125	51
breast	normal	72.5	7.0419	72
breast	normal	75	3.7689	39
breast	normal	77.5	2.5179	26
breast	normal	80	2.0227	21
breast	normal	82.5	5.0121	51
breast	normal	85	3.7572	38
breast	normal	87.5	4.5053	46
breast	normal	90	3.5114	36
breast	normal	92.5	2.5249	26
breast	normal	95	1.5194	16
breast	normal	97.5	0.4952	5
breast	normal	100	0.4838	5
cervix	normal	2.5	8.538	37
cervix	normal	5	4.849	21
cervix	normal	7.5	2.7349	12
cervix	normal	10	3.6843	16
cervix	normal	12.5	2.2486	10
cervix	normal	15	2.2522	10
cervix	normal	17.5	1.8074	8
cervix	normal	20	4.3618	19
cervix	normal	22.5	2.9298	13
cervix	normal	25	2.2665	10
cervix	normal	27.5	1.8254	8
cervix	normal	30	2.0589	9
cervix	normal	32.5	1.3841	6
cervix	normal	35	2.9854	13
cervix	normal	37.5	2.047	9
cervix	normal	40	2.2917	10
cervix	normal	42.5	1.8356	8
cervix	normal	45	3.2032	14
cervix	normal	47.5	3.203	14
cervix	normal	50	4.1485	18
cervix	normal	52.5	3.2252	14
cervix	normal	55	4.1557	18
cervix	normal	57.5	4.3778	19
cervix	normal	60	4.6075	20
cervix	normal	62.5	2.7648	12
cervix	normal	65	1.8377	8
cervix	normal	67.5	1.8336	8
cervix	normal	70	3.2277	14
cervix	normal	72.5	1.1325	5
cervix	normal	75	0.6989	3
cervix	normal	77.5	0.6989	3
cervix	normal	80	0.2427	1
cervix	normal	82.5	2.2735	10
cervix	normal	85	2.2732	10
cervix	normal	87.5	1.1352	5
cervix	normal	90	0.6979	3
cervix	normal	92.5	0.4527	2
cervix	normal	95	0.4564	2
cervix	normal	97.5	0.2339	1
cervix	normal	100	2.0498	9
breast	cancer	2.5	30.0664	256
breast	cancer	5	15.0473	128
breast	cancer	7.5	1.8659	16
breast	cancer	10	2.8582	24
breast	cancer	12.5	3.9033	33
breast	cancer	15	4.8692	42
breast	cancer	17.5	3.5741	31
breast	cancer	20	3.2707	28
breast	cancer	22.5	2.8086	24
breast	cancer	25	3.6026	31
breast	cancer	27.5	2.4001	21
breast	cancer	30	2.0437	17
breast	cancer	32.5	3.8029	32
breast	cancer	35	1.9261	16
breast	cancer	37.5	2.72	23
breast	cancer	40	1.8084	15
breast	cancer	42.5	1.7957	15
breast	cancer	45	1.9419	16
breast	cancer	47.5	1.7178	15
breast	cancer	50	0.8988	8
breast	cancer	52.5	1.0317	9
breast	cancer	55	1.1777	10
breast	cancer	57.5	0.6362	5
breast	cancer	60	0.6766	6
breast	cancer	62.5	1.0211	9
breast	cancer	65	0.3474	3
breast	cancer	67.5	0.3216	3
breast	cancer	70	0.3355	3
breast	cancer	72.5	0.2304	2
breast	cancer	75	0.1121	0
breast	cancer	77.5	0.2582	2
breast	cancer	80	0.2588	2
breast	cancer	82.5	0.1008	0
breast	cancer	85	0.2205	2
breast	cancer	87.5	0.0889	0
breast	cancer	90	0.2614	2
breast	cancer	92.5	0.2489	2
breast	cancer	95	0.1041	0
breast	cancer	97.5	0.0784	0
breast	cancer	100	0.1054	0
cervix	cancer	2.5	27.1505	3691
