#Table 10
#Mean score and variation in student performance in reading
#Table 31
#Mean score and variation in student performance in mathematics
#Table 52
#Mean score and variation in student performance in science
#Source: PISA 2015 Database and PISA for Development Database
#Table 323
#Cumulative expenditure by educational institutions per student aged 6 to 15 (2013)
#In equivalent USD converted using PPPs for GDP, by level of education, based on full-time equivalents
#Source: PISA 2015 and PISA for Development system-level data collection
Country	Group	region	Source	Notes	Reading_Mean_score	Reading_Mean_SE	Math_Mean_score	Math_Mean_SE	Math_SD	Math_SD_SE	Pct_5_Score	Pct_5_SE	Pct_10_Score	Pct_10_SE	Pct_25_Score	Pct_25_SE	Pct_50_Score	Pct_50_SE	Pct_75_Score	Pct_75_SE	Pct_90_Score	Pct_90_SE	Pct_95_Score	Pct_95_SE	Science_Mean_score	Science_Mean_SE	Average_duration_Pre-primary education	Average_duration_Primary education	Average_duration_Lower secondary	Average_duration_Upper secondary education	Annual_expenditure Pre-primary education (for children 3 years and older)	Annual_expenditure Primary education	Annual_expenditure Lower secondary education	Annual_expenditure Upper secondary education	Annual_expenditure All secondary education	Cumulative_expenditure_Pre-Primary education	Cumulative_expenditure_Primary education	Cumulative_expenditure_Lower secondary	Cumulative_expenditure_Upper secondary education	Cumulative_expenditure_All secondary education	 Cumulative_expenditure_Total 6 to 15 year-olds
Cambodia	PISA-D	South-East Asia	c		321	2.1	325	2.7	75	1.5	198	4.9	229	4.1	276	3.5	326	3	376	3.2	420	3.6	446	4	330	1.9	0	6	3	1	170	208	468	434	456	0	1249	1403	434	1838	3087
Ecuador	PISA-D	Latin America and Caribbean	c	5	409	3.4	377	3.1	76	1.5	251	5	278	4.3	326	3.3	377	3.3	430	3.8	477	4	504	3.8	399	2.9	0	6	3	1	4190	1774	967	468	737	0	10642	2901	468	3369	14011
Guatemala	PISA-D	Latin America and Caribbean	c		369	3.5	334	3.2	69	2.1	223	5.5	247	4.8	288	3.7	334	3.2	380	4	423	5.4	449	6.9	365	2.9	1	6	3	0	667	678	457	280	396	667	4067	1370	0	1370	6104
Honduras	PISA-D	Latin America and Caribbean	c	1,4	371	3.5	343	3.5	77	2.3	221	5.3	247	3.9	291	3.4	341	3.5	393	4.5	442	6.1	474	7.5	370	2.9	0	6	3	1	673	912	1393	m	m	0	5472	4178	m	4178	9650
Paraguay	PISA-D	Latin America and Caribbean	c	5	370	3.7	326	2.9	68	1.4	214	4.5	239	3.8	279	2.9	326	3.6	374	4	414	3.8	436	4	358	3.3	0	6	3	1	1429	1336	1233	2042	1585	0	8014	3700	2042	5742	13756
Senegal	PISA-D	Sub-Saharan Africa	c	5,10	306	1.8	304	2.6	81	1.7	177	5.1	203	4.1	249	3.2	301	3.2	356	3	408	3.7	441	5.2	309	1.8	0	6	4	0	989	549	881	1245	966	0	3294	3524	0	3524	6818
Zambia	PISA-D	Sub-Saharan Africa	c		275	3.9	258	3.9	72	2.4	153	4.4	173	3.6	207	3.3	251	3.8	304	5.8	357	7.4	390	8.3	309	3.1	1	7	2	0	m	m	m	m	m	m	m	m	m	m	m
Australia	OECD	Oceania	a		503	1.7	494	1.6	93	1.2	339	2.8	371	2.5	430	2	495	2.1	559	2.1	613	2.8	645	3.3	510	1.5	0	7	3	0	13171	8289	11431	10203	10932	0	58024	34292	0	32797	92316
Austria	OECD	Western Europe	a		485	2.8	497	2.9	95	1.8	337	5.7	370	4.5	431	3.9	501	3.6	564	3.4	618	3.7	648	4.2	495	2.4	0	4	4	2	8737	10780	14831	15255	15024	0	43120	59325	30510	90141	132955
Belgium	OECD	Western Europe	a	1	499	2.4	507	2.4	97	1.5	341	4.4	374	3.9	438	3.5	513	3	579	2.5	630	2.5	657	2.7	502	2.3	0	6	2	2	7576	9957	12267	13020	12763	0	59741	24535	26040	51052	110316
Canada	OECD	North America	a	1,2,3	527	2.3	516	2.3	88	1.1	368	3.7	400	3.2	456	2.9	518	2.5	577	2.6	627	3.2	657	3.6	528	2.1	0	6	3	1	m	9130	x(6)	12086	m	m	82168	x(11)	12086	m	94254
Chile	OECD	Latin America and Caribbean	a		459	2.6	423	2.5	85	1.4	284	4	313	3.5	363	2.9	422	3	483	3.5	534	3.6	563	3.7	447	2.4	0	6	2	2	6408	4021	4099	4141	4127	0	24128	8197	8282	16507	40607
Czech Republic	OECD	Western Europe	a		487	2.6	492	2.4	91	1.7	340	4.8	373	4.2	431	3.4	494	2.8	555	2.9	608	3.6	639	4.4	493	2.3	0	5	4	1	4655	4730	8061	7682	7861	0	23652	32242	7682	39303	63576
Denmark	OECD	Western Europe	a	4	500	2.5	511	2.2	81	1.2	376	3.3	405	3.2	457	2.9	513	2.7	567	2.5	614	2.9	639	3.5	502	2.4	1	6	3	0	m	11355	11906	10165	10933	m	68132	35719	0	32798	103852
Estonia	OECD	Western Europe	a	4	519	2.2	520	2	80	1.1	386	3.7	415	3.1	464	2.6	521	2.3	576	2.6	623	2.7	650	3.4	534	2.1	1	6	3	0	m	7138	7009	5909	6417	m	42829	21028	0	19252	63858
Finland	OECD	Western Europe	a	1	526	2.5	511	2.3	82	1.3	372	5.1	404	3.8	456	3.1	514	2.7	568	2.4	614	2.9	642	3.5	531	2.4	1	6	3	0	10477	8519	13312	8786	10237	10477	51114	39937	0	30712	101527
France	OECD	Western Europe	a		499	2.5	493	2.1	95	1.5	331	4.5	364	3.9	425	3.3	499	2.9	564	2.6	613	2.7	639	3.3	495	2.1	0	5	4	1	7507	7201	9947	13643	11482	0	36003	39789	13643	57410	89435
Germany	OECD	Western Europe	a		509	3.0	506	2.9	89	1.4	356	4.9	389	4.1	445	3.5	508	3.2	568	3.4	620	3.4	650	3.9	509	2.7	0	4	6	0	9167	8103	9967	13093	11106	0	32414	59800	0	66639	92214
