#US News 2022-2023 Top Universities
Name	Country	City	Rank	Score	Enrollment
Harvard University	United States	Cambridge (U.S.)	1	100	21887
Massachusetts Institute of Technology (MIT)	United States	Cambridge (U.S.)	2	97.7	11415
Stanford University	United States	Stanford	3	95.2	16164
University of California Berkeley	United States	Berkeley	4	88.7	40921
University of Oxford	United Kingdom	Oxford	5	86.8	NA
University of Washington Seattle	United States	Seattle	6	86.6	47727
Columbia University	United States	New York City	7	86.5	21781
University of Cambridge	United Kingdom	Cambridge (U.K.)	8	86.1	20385
California Institute of Technology	United States	Pasadena	9	85.6	2237
Johns Hopkins University	United States	Baltimore	10	84.7	17584
Yale University	United States	New Haven	11	84.6	13482
University College London	United Kingdom	London (U.K.)	12	84.4	36900
Imperial College London	United Kingdom	London (U.K.)	13	84.3	18455
University of California Los Angeles	United States	Los Angeles	14	84.2	43289
University of Pennsylvania	United States	Philadelphia	15	84	21453
Princeton University	United States	Princeton	16	83.9	NA
University of California San Francisco	United States	San Francisco	16	83.9	NA
University of Toronto	Canada	Toronto	18	83.8	77468
University of Michigan	United States	Ann Arbor	19	83.4	46146
University of California San Diego	United States	La Jolla	20	83.3	NA
Cornell University	United States	Ithaca	21	82.9	24027
University of Chicago	United States	Chicago	22	82.5	NA
Tsinghua University	China	Beijing	23	81.3	NA
Northwestern University	United States	Evanston	24	81.2	18803
Duke University	United States	Durham (North Carolina, U.S.)	25	80.7	NA
National University of Singapore	Singapore	Singapore	26	80.4	32337
University of Melbourne	Australia	Parkville	27	80.3	NA
University of Sydney	Australia	Sydney	28	79.9	47118
ETH Zurich	Switzerland	Zurich	29	79.3	21209
Nanyang Technological University	Singapore	Singapore	30	79	24651
New York University	United States	New York City	31	78.5	36337
Washington University (WUSTL)	United States	St. Louis	32	78.1	14761
King's College London	United Kingdom	London (U.K.)	33	77.9	29240
University of Edinburgh	United Kingdom	Edinburgh	34	77.8	32800
University of British Columbia	Canada	Vancouver	35	77.5	58590
University of Queensland	Australia	Brisbane	36	77.2	41372
Monash University	Australia	Clayton	37	77	58725
University of New South Wales Sydney	Australia	Kensington	37	77	45133
Peking University	China	Beijing	39	76.8	31994
University of Amsterdam	Netherlands	Amsterdam	39	76.8	NA
University of North Carolina Chapel Hill	United States	Chapel Hill	41	76.7	30845
University of Copenhagen	Denmark	Copenhagen	42	76.2	NA
University of Texas Austin	United States	Austin	43	75.9	NA
Utrecht University	Netherlands	Utrecht	44	75.7	32532
University of Pittsburgh	United States	Pittsburgh	45	75.6	26575
Icahn School of Medicine at Mount Sinai	United States	New York City	46	75.4	NA
University of Munich	Germany	Munich	47	75.3	NA
