Country	2011	2008	2017	2016	2015	2014	2013	2012	2010	2009
Albania	1	1	0	0	0	0	0	0	0	0
Austria	27	41	49	42	54	35	42	37	24	37
Belgium	40	58	59	62	64	36	59	52	49	29
Bosnia and Herzegovina	0	0	0	0	0	0	0	1	0	0
Bulgaria	10	20	2	3	5	4	9	12	8	6
Croatia	3	4	4	5	2	5	4	6	5	3
Cyprus	6	5	4	5	2	11	9	6	5	2
Czech Republic	13	26	10	17	14	18	13	21	9	9
Denmark	55	32	65	58	38	33	34	56	37	29
Estonia	4	2	5	5	6	1	3	4	3	3
Finland	71	64	52	74	42	54	79	77	52	21
France	214	199	247	298	215	260	210	248	195	159
Georgia	0	0	3	0	0	0	0	0	0	0
Germany	267	170	269	276	193	239	234	221	221	143
Greece	51	88	19	24	29	41	42	52	36	27
Hungary	14	27	12	13	12	12	24	16	19	18
Iceland	2	4	1	3	1	4	0	0	3	3
Ireland	30	16	24	26	35	30	19	22	48	16
Israel	92	136	80	104	53	81	123	95	103	78
Italy	267	278	207	218	217	232	238	262	246	207
Latvia	2	2	2	0	3	0	2	1	3	1
Lithuania	5	2	0	2	4	9	0	2	4	1
Luxembourg	0	0	2	3	1	1	2	1	1	0
Malta	0	1	0	0	0	0	0	0	0	0
Moldava	0	0	1	0	0	1	1	2	0	0
Montenegro	0	0	2	0	0	1	1	1	0	1
Netherlands	118	104	127	172	118	148	135	122	101	80
Norway	25	28	47	25	34	39	40	36	36	18
Poland	72	68	24	24	33	33	35	18	27	19
Portugal	20	15	27	19	23	24	22	28	13	9
Romania	27	29	5	8	11	19	15	9	17	20
Serbia	0	2	2	4	3	2	0	4	1	0
Slovakia	3	3	4	2	1	2	3	7	3	4
Slovenia	14	14	18	9	7	12	7	11	20	8
Spain	141	118	166	172	156	198	291	216	126	93
Sweden	90	60	68	79	65	78	71	73	75	62
Switzerland	86	88	82	163	91	114	84	92	80	99
The Former Yugoslav Republic Of Macedonia	0	0	1	0	1	1	0	1	1	1
Turkey	6	40	9	13	9	6	9	11	14	16
Ukraine	0	0	5	7	14	0	0	0	0	0
United Kingdom	469	289	433	438	371	466	503	446	382	304
