Country	2017	2016	2015	2014	2013
Austria	52	46	33	58	83
Belgium	80	72	51	78	109
Bosnia and Herzegovina	0	0	1	0	0
Bulgaria	3	3	3	5	6
Croatia	9	2	4	11	5
Cyprus	7	4	7	8	14
Czech Republic	13	8	17	23	27
Denmark	58	57	61	63	76
Estonia	5	9	4	2	5
Finland	89	78	59	83	115
France	289	291	222	261	318
Georgia	1	0	0	0	0
Germany	325	263	242	307	429
Greece	33	27	28	40	67
Hungary	18	19	13	31	50
Iceland	0	1	0	3	5
Ireland	37	36	33	38	59
Israel	79	53	63	58	85
Italy	211	212	212	269	336
Latvia	1	0	0	1	0
Lithuania	0	2	7	1	3
Luxembourg	1	6	7	3	2
Malta	2	2	1	1	0
Netherlands	165	145	109	150	261
Norway	47	37	37	32	55
Poland	32	22	32	18	28
Portugal	40	34	39	58	70
Romania	14	6	16	13	11
Serbia	1	3	5	2	1
Slovakia	12	1	3	3	8
Slovenia	8	1	1	12	9
Spain	234	196	169	293	431
Sweden	104	92	70	83	127
Switzerland	83	84	93	0	107
The Former Yugoslav Republic Of Macedonia	0	0	0	2	0
Turkey	15	20	23	8	12
Ukraine	2	4	0	0	0
United Kingdom	428	438	358	467	690
