Country	2018	2017	2016	2015	2014	2013
Austria	9	9	7	7	6	5
Belgium	11	13	11	10	12	16
Croatia	0	0	0	0	1	0
Cyprus	1	0	0	0	1	0
Czech Republic	1	3	1	1	4	2
Denmark	7	10	7	8	8	5
Estonia	1	0	0	0	1	0
Finland	4	12	7	6	4	4
France	32	37	40	33	54	42
Germany	38	54	49	45	67	45
Greece	3	3	3	1	1	2
Hungary	0	4	5	1	4	2
Iceland	0	0	1	0	1	0
Ireland	6	6	2	2	7	2
Israel	23	14	15	14	13	18
Italy	15	16	16	15	19	22
Luxembourg	1	0	1	1	1	0
Netherlands	19	26	28	26	32	26
Norway	9	5	4	3	4	1
Poland	0	1	0	2	0	1
Portugal	3	7	4	3	9	4
Romania	0	0	0	0	1	0
Serbia	0	0	1	0	0	0
Slovenia	0	1	0	0	0	0
Spain	16	12	23	16	29	20
Sweden	8	15	7	12	9	10
Switzerland	29	20	21	24	0	23
Turkey	0	1	1	2	0	1
United Kingdom	55	59	60	71	83	62
