Score	CAR	RI	SE	ST-CHE	ST-ECO	ST-ENG	ST-ENV	ST-LIF	ST-MAT	ST-PHY	ST-SOC	GF-CHE	GF-ECO	GF-ENG	GF-ENV	GF-LIF	GF-MAT	GF-PHY	GF-SOC
100	0	0	0	0	0	0.55	0.33	0	0	0	0.06	0	0	0	0	0	0	0	0
99	0.47	0.17	0.59	0	0	0.55	0.54	0.28	0	0	0.55	0	0	1.12	1.67	0	0	1.09	0
98	1.65	1.35	1.18	0.95	0	1.66	0.76	1.4	0.52	0.35	1.16	0	0	2.25	5	1.15	0	1.09	2.43
97	3.07	2.36	1.47	2.08	1.97	3.22	1.41	2.96	2.06	1.06	2.26	3.23	0	4.49	6.67	2.87	0	2.17	4.05
96	4.73	5.9	2.35	3.98	2.63	5.11	3.9	5.48	3.09	2.13	4.15	8.06	0	8.99	10	7.47	0	5.43	4.86
95	6.86	10.62	2.94	6.06	3.29	7.1	6.83	8.72	4.64	3.42	6.66	9.68	8.7	11.24	13.33	9.2	7.14	7.61	6.88
94	10.17	14.33	3.53	8.81	3.29	9.43	8.99	11.79	8.25	5.08	8.98	14.52	8.7	13.48	15	11.49	14.29	7.61	11.34
93	12.29	17.37	5	12.03	3.95	12.32	11.27	14.92	10.82	7.44	11.61	16.13	21.74	15.73	19.17	14.37	14.29	11.96	13.36
92	16.55	21.08	6.18	15.81	5.26	15.21	14.19	17.94	14.95	9.56	14.17	22.58	21.74	16.85	20.83	17.82	21.43	16.3	16.6
91	18.2	23.1	8.53	18.94	7.24	17.87	18.96	21.46	18.56	12.4	16.62	27.42	21.74	17.98	23.33	22.99	21.43	17.39	19.84
90	20.8	27.99	10	22.92	8.55	21.31	22.1	25.1	22.68	16.53	19.24	29.03	26.09	22.47	25.83	26.44	21.43	22.83	23.48
89	23.64	32.21	10.88	25.66	14.47	24.97	25.35	29.29	25.77	21.49	21.62	41.94	26.09	25.84	26.67	29.89	21.43	25	25.91
88	26.71	34.91	13.24	30.11	18.42	28.19	29.58	33.65	29.38	25.86	24.62	43.55	30.43	30.34	30.83	34.48	21.43	32.61	29.96
87	30.73	39.12	15.59	35.23	20.39	30.97	33.59	37.17	32.47	29.16	27.55	48.39	39.13	35.96	33.33	38.51	28.57	35.87	33.6
86	33.33	42.5	17.35	38.64	25	34.18	37.81	41.36	37.11	32.35	30.36	48.39	39.13	39.33	40	41.38	42.86	38.04	37.25
85	35.7	46.37	18.53	42.61	26.97	36.51	40.09	44.83	39.69	35.3	33.29	56.45	47.83	41.57	47.5	45.98	42.86	41.3	39.68
84	39.24	50.93	19.41	45.64	29.61	39.84	43.23	48.63	41.75	39.43	35.68	58.06	47.83	46.07	50	50	42.86	44.57	42.91
83	41.37	54.3	22.35	49.81	34.87	43.73	46.8	52.82	42.78	43.45	38.73	59.68	47.83	49.44	52.5	54.02	42.86	47.83	44.53
82	44.68	57.67	24.12	52.37	40.13	46.28	51.14	55.95	46.91	46.87	41.91	62.9	52.17	53.93	56.67	56.9	50	53.26	47.37
81	49.17	59.7	25	55.3	41.45	49.17	53.74	59.47	50	51.59	44.72	62.9	56.52	57.3	60	60.92	50	57.61	49.39
80	52.48	64.76	27.06	59	43.42	52.39	57.31	62.21	55.67	54.31	48.01	62.9	56.52	61.8	64.17	64.37	50	59.78	52.63
79	55.79	67.28	30.29	62.31	47.37	55.27	60.35	64.51	58.25	58.21	50.82	67.74	60.87	64.04	65	65.52	50	61.96	57.09
78	59.34	69.31	32.35	65.15	50.66	57.94	63.81	67.08	60.82	61.04	53.63	67.74	60.87	66.29	65.83	67.24	50	66.3	59.51
77	61.23	71.33	35.59	68.18	51.97	59.93	66.74	69.48	65.46	64.82	56.81	70.97	60.87	67.42	70	72.41	50	70.65	61.13
76	62.65	73.52	37.94	71.4	53.29	62.04	69.01	72.05	68.56	68	59.25	70.97	60.87	69.66	72.5	75.29	50	76.09	63.97
75	65.25	76.05	39.71	73.96	53.29	64.59	71.07	74.29	72.16	70.72	61.82	70.97	69.57	73.03	73.33	77.59	57.14	78.26	65.99
74	67.14	78.08	41.76	76.42	55.26	67.04	73.02	76.08	74.23	72.85	64.32	77.42	73.91	73.03	75.83	78.74	57.14	79.35	68.83
73	68.09	80.61	44.41	78.22	58.55	68.81	74.65	78.2	76.29	75.09	66.46	80.65	73.91	74.16	77.5	81.03	57.14	79.35	70.85
72	68.32	83.14	46.18	79.55	59.87	71.25	77.03	79.65	77.32	77.1	68.48	83.87	78.26	75.28	78.33	84.48	71.43	80.43	72.06
71	69.98	84.49	50	80.78	63.16	73.25	78.66	81.72	79.38	79.81	70.43	87.1	78.26	77.53	78.33	87.36	71.43	82.61	74.9
70	72.58	85.83	53.82	83.05	66.45	75.58	80.72	83.57	83.51	82.05	72.27	90.32	78.26	80.9	80.83	87.36	78.57	83.7	75.3
