Country	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008
Albania	0	0	0	0	0	0	0	0	1	0	0	1
Austria	37	44	49	42	54	35	42	37	27	24	37	41
Belgium	51	55	59	62	64	36	59	52	40	49	29	58
Bosnia and Herzegovina	0	1	0	0	0	0	0	1	0	0	0	0
Bulgaria	2	0	2	3	5	4	9	12	10	8	6	20
Croatia	4	2	4	5	2	5	4	6	3	5	3	4
Cyprus	1	4	4	5	2	11	9	6	6	5	2	5
Czech Republic	11	9	10	17	14	18	13	21	13	9	9	26
Denmark	40	45	65	58	38	33	34	56	55	37	29	32
Estonia	12	5	5	5	6	1	3	4	4	3	3	2
Finland	48	43	52	74	42	54	79	77	71	52	21	64
France	223	245	247	298	215	260	210	248	214	195	159	199
Georgia	2	3	3	0	0	0	0	0	0	0	0	0
Germany	246	218	269	276	193	239	234	221	267	221	143	170
Greece	14	22	19	24	29	41	42	52	51	36	27	88
Hungary	19	14	12	13	12	12	24	16	14	19	18	27
Iceland	3	2	1	3	1	4	0	0	2	3	3	4
Ireland	29	29	24	26	35	30	19	22	30	48	16	16
Israel	84	76	80	104	53	81	123	95	92	103	78	136
Italy	156	199	207	218	217	232	238	262	267	246	207	278
Latvia	0	1	2	0	3	0	2	1	2	3	1	2
Lithuania	0	2	0	2	4	9	0	2	5	4	1	2
Luxembourg	3	3	2	3	1	1	2	1	0	1	0	0
Malta	0	0	0	0	0	0	0	0	0	0	0	1
Moldava	0	1	1	0	0	1	1	2	0	0	0	0
Montenegro	0	0	2	0	0	1	1	1	0	0	1	0
Netherlands	99	123	127	172	118	148	135	122	118	101	80	104
Norway	35	35	47	25	34	39	40	36	25	36	18	28
Poland	17	15	24	24	33	33	35	18	72	27	19	68
Portugal	33	26	27	19	23	24	22	28	20	13	9	15
Romania	8	4	5	8	11	19	15	9	27	17	20	29
Serbia	0	2	2	4	3	2	0	4	0	1	0	2
Slovakia	3	1	4	2	1	2	3	7	3	3	4	3
Slovenia	9	13	18	9	7	12	7	11	14	20	8	14
Spain	168	182	166	172	156	198	291	216	141	126	93	118
Sweden	52	74	68	79	65	78	71	73	90	75	62	60
Switzerland	92	87	82	163	91	114	84	92	86	80	99	88
The Former Yugoslav Republic Of Macedonia	0	1	1	0	1	1	0	1	0	1	1	0
Turkey	16	8	9	13	9	6	9	11	6	14	16	40
Ukraine	1	4	5	7	14	0	0	0	0	0	0	0
United Kingdom	318	428	433	438	371	466	503	446	469	382	304	289
