Country	2019	2018	2017	2016	2015	2014	2013
Austria	5	9	9	7	7	6	5
Belgium	9	11	13	11	10	12	16
Croatia	0	0	0	0	0	1	0
Cyprus	1	1	0	0	0	1	0
Czech Republic	1	1	3	1	1	4	2
Denmark	9	7	10	7	8	8	5
Estonia	0	1	0	0	0	1	0
Finland	4	4	12	7	6	4	4
France	44	32	37	40	33	54	42
Germany	58	38	54	49	45	67	45
Greece	1	3	3	3	1	1	2
Hungary	1	0	4	5	1	4	2
Iceland	0	0	0	1	0	1	0
Ireland	6	5	6	2	2	7	2
Israel	16	23	14	15	14	13	18
Italy	13	20	15	15	14	20	22
Luxembourg	2	1	0	1	1	1	0
Netherlands	26	20	25	29	26	32	26
Norway	7	9	5	4	3	4	1
Poland	2	0	1	0	2	0	1
Portugal	4	3	7	4	3	9	4
Romania	0	0	0	0	0	1	0
Serbia	0	0	0	1	0	0	0
Slovenia	0	0	1	0	0	0	0
Spain	14	17	12	23	16	29	20
Sweden	10	7	16	7	12	10	10
Switzerland	23	27	20	23	25	0	23
Turkey	2	0	1	1	2	0	1
United Kingdom	52	54	59	60	72	82	63
