Country	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2007
Albania	0	2	0	0	0	0	0	0	0	0	0	0
Austria	77	88	74	53	57	87	78	89	89	64	52	148
Belgium	103	126	84	116	115	103	117	139	134	103	90	289
Bosnia and Herzegovina	0	4	0	0	1	1	0	0	1	1	0	0
Bulgaria	3	3	2	2	3	7	7	12	6	6	5	44
Croatia	8	7	3	7	5	13	4	7	7	3	6	19
Cyprus	6	9	5	8	7	14	19	18	12	9	9	38
Czech Republic	38	27	19	21	28	29	30	47	21	20	28	80
Denmark	90	99	111	79	86	88	52	93	87	49	44	165
Estonia	13	9	14	13	2	10	5	5	2	2	2	11
Finland	107	101	85	109	99	107	128	170	128	66	48	226
France	276	253	275	256	206	256	210	403	319	264	222	691
Georgia	3	3	3	0	0	0	0	0	0	0	0	0
Germany	460	479	442	390	339	425	427	539	482	339	242	988
Greece	17	21	18	27	38	40	36	114	70	36	85	327
Hungary	15	10	14	13	22	31	30	21	39	41	21	177
Iceland	2	2	3	5	3	4	2	8	5	5	0	5
Ireland	65	50	40	35	50	47	36	61	58	68	25	127
Israel	126	109	110	66	108	99	110	125	104	94	80	194
Italy	237	287	258	285	378	394	269	434	475	349	418	1575
Latvia	2	1	2	6	2	1	2	7	0	2	2	5
Lithuania	1	1	3	5	1	4	1	3	4	8	4	17
Luxembourg	3	5	4	4	1	3	2	4	2	3	0	6
Malta	4	3	2	2	2	1	1	1	2	0	1	1
Montenegro	0	1	0	0	0	1	0	0	1	0	0	0
Netherlands	266	246	226	204	197	212	263	338	277	161	129	525
Norway	72	73	55	39	39	55	71	73	62	39	29	86
Poland	37	38	37	39	49	32	42	50	69	30	32	193
Portugal	50	62	58	56	54	80	63	91	71	36	39	172
Romania	8	10	16	37	20	50	28	44	31	33	23	119
Serbia	2	2	2	6	3	9	6	4	6	1	1	20
Slovakia	4	5	2	3	4	4	11	9	5	7	3	36
Slovenia	13	13	21	11	9	16	14	24	32	19	17	39
Spain	236	218	226	223	197	276	344	453	341	222	222	542
Sweden	134	142	107	121	91	120	162	212	152	120	85	454
Switzerland	124	124	136	129	124	1	130	147	108	99	60	195
The Former Yugoslav Republic Of Macedonia	1	0	1	1	2	2	0	1	1	1	0	0
Turkey	20	18	29	19	28	16	22	41	18	24	35	164
Ukraine	2	2	1	8	3	0	0	0	0	0	0	0
United Kingdom	434	470	544	483	489	566	533	865	784	443	333	1109
