Country	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2007
Austria	8	9	14	16	10	14	13	9	16	15	7	5
Belgium	15	16	12	21	11	12	16	24	20	14	14	10
Bulgaria	0	0	0	0	0	0	0	0	0	0	0	1
Croatia	1	0	0	0	0	0	1	0	0	0	0	0
Cyprus	0	0	1	0	0	0	1	0	0	1	0	2
Czech Republic	1	5	2	2	3	1	1	0	1	1	0	1
Denmark	11	15	7	4	8	13	2	13	10	6	7	3
Estonia	1	1	1	0	0	0	0	0	1	0	1	0
Finland	4	10	7	7	5	9	3	8	9	4	6	7
France	40	37	52	52	37	49	30	84	57	73	33	41
Germany	73	72	67	65	44	69	42	77	65	78	29	32
Greece	2	0	0	3	0	0	2	4	4	3	3	4
Hungary	1	0	1	4	3	2	1	2	3	5	1	6
Iceland	0	0	0	1	0	0	0	0	0	0	0	0
Ireland	3	7	3	3	6	10	3	5	6	5	3	3
Israel	35	23	29	14	32	26	32	26	23	26	12	22
Italy	21	16	20	15	23	19	7	29	27	21	17	24
Luxembourg	0	1	1	1	0	0	0	0	1	0	0	0
Malta	0	0	0	0	1	0	0	0	0	0	0	0
Netherlands	51	45	37	38	38	38	29	43	50	25	17	27
Norway	7	11	7	3	1	6	4	4	5	2	1	1
Poland	1	4	2	3	2	0	1	2	2	3	2	1
Portugal	2	5	5	5	4	6	5	7	0	5	2	2
Romania	0	1	1	1	1	1	0	0	0	0	0	0
Serbia	0	0	0	0	0	1	0	0	0	0	0	0
Slovakia	0	0	0	0	0	0	0	1	0	0	0	0
Slovenia	2	1	0	0	0	0	0	0	1	0	0	0
Spain	20	19	22	24	14	22	12	25	27	25	19	22
Sweden	14	17	15	16	12	9	6	21	15	21	6	11
Switzerland	30	22	24	26	29	2	23	37	23	28	22	17
Turkey	3	0	2	1	2	1	1	2	0	0	0	0
United Kingdom	61	66	75	66	63	65	65	143	120	75	43	57
