Country	2020	2019	2018	2017	2016	2015	2014	2013
Austria	64	62	46	52	46	33	58	83
Belgium	81	72	75	80	72	51	78	109
Bosnia and Herzegovina	0	0	0	0	0	1	0	0
Bulgaria	0	1	1	3	3	3	5	6
Croatia	4	3	4	9	2	4	11	5
Cyprus	2	9	3	7	4	7	8	14
Czech Republic	40	27	20	13	8	17	23	27
Denmark	65	70	62	58	57	61	63	76
Estonia	7	19	6	5	9	4	2	5
Finland	92	98	67	89	78	59	83	115
France	247	276	286	289	291	222	261	318
Georgia	2	0	1	1	0	0	0	0
Germany	309	311	255	325	263	242	307	429
Greece	19	19	20	33	27	28	40	67
Hungary	15	11	13	18	19	13	31	50
Iceland	4	1	2	0	1	0	3	5
Ireland	55	40	46	37	36	33	38	59
Israel	91	82	81	79	53	63	58	85
Italy	206	188	230	211	212	212	269	336
Latvia	3	0	1	1	0	0	1	0
Lithuania	1	1	2	0	2	7	1	3
Luxembourg	4	6	2	1	6	7	3	2
Malta	0	1	2	2	2	1	1	0
Netherlands	154	157	163	165	145	109	150	261
Norway	66	60	54	47	37	37	32	55
Poland	45	31	30	32	22	32	18	28
Portugal	50	40	50	40	34	39	58	70
Romania	9	11	6	14	6	16	13	11
Serbia	8	1	3	1	3	5	2	1
Slovakia	3	3	2	12	1	3	3	8
Slovenia	13	10	8	8	1	1	12	9
Spain	214	212	190	234	196	169	293	431
Sweden	114	83	98	104	92	70	83	127
Switzerland	124	111	102	83	84	93	0	107
The Former Yugoslav Republic Of Macedonia	0	0	1	0	0	0	2	0
Turkey	39	25	16	15	20	23	8	12
Ukraine	1	0	1	2	4	0	0	0
United Kingdom	319	378	407	428	438	358	467	690
