Country	2020	2019	2018	2017	2016	2015	2014	2013
Austria	16	8	10	10	9	7	7	5
Belgium	8	9	13	14	11	10	12	16
Bosnia and Herzegovina	0	0	0	0	0	0	0	0
Bulgaria	0	0	0	0	0	0	0	0
Croatia	1	0	0	0	0	0	1	0
Cyprus	1	1	1	0	0	0	1	0
Czech Republic	4	1	1	3	1	1	4	2
Denmark	9	9	6	8	8	8	8	5
Estonia	0	0	1	0	0	0	1	0
Finland	6	4	5	12	6	6	5	4
France	31	41	31	36	39	31	53	42
Georgia	0	0	0	0	0	0	0	0
Germany	50	58	37	58	48	46	67	45
Greece	0	1	3	3	3	1	1	2
Hungary	0	0	0	4	4	1	2	2
Iceland	1	0	0	0	1	0	1	0
Ireland	8	6	5	6	2	3	7	2
Israel	17	16	23	14	15	14	13	18
Italy	19	16	19	18	15	15	20	22
Latvia	0	0	0	0	0	0	0	0
Lithuania	0	0	0	0	0	0	0	0
Luxembourg	0	2	2	0	1	1	1	0
Malta	0	0	0	0	0	0	0	0
Netherlands	26	33	20	24	30	25	32	26
Norway	9	7	9	5	4	3	4	1
Poland	3	2	0	1	0	2	0	1
Portugal	6	4	3	7	4	3	9	4
Romania	2	0	0	0	0	0	1	0
Serbia	0	0	0	0	1	0	0	0
Slovakia	0	0	0	0	0	0	0	0
Slovenia	0	0	0	1	0	0	0	0
Spain	22	14	17	13	23	16	29	20
Sweden	13	10	7	16	7	12	10	10
Switzerland	23	22	27	19	23	25	0	23
The Former Yugoslav Republic Of Macedonia	0	0	0	0	0	0	0	0
Turkey	0	2	0	1	1	2	0	1
Ukraine	1	0	0	0	0	0	0	0
United Kingdom	51	51	52	55	59	69	82	63
