region	item	production_2017_Gg	imports_2017_Gg	exports_2017_Gg	feed_2017_Gg
Canada	Pelagic Fish	194.0	473.0	142.0	342.0
Canada	Crustaceans	292.0	152.0	289.0	2.0
Canada	Freshwater Fish	217.0	151.0	177.0	0.0
Canada	Molluscs, Other	144.0	59.0	83.0	0.0
Canada	Marine Fish, Other	1.0	7.0	3.0	0.0
Canada	Fish, Seafood	1053.0	999.0	862.0	357.0
Canada	Demersal Fish	205.0	141.0	168.0	0.0
Canada	Cephalopods	0.0	16.0	0.0	13.0
Sao Tome and Principe	Pelagic Fish	4.0	0.0	0.0	0.0
Sao Tome and Principe	Crustaceans	0.0	0.0	0.0	0.0
Sao Tome and Principe	Freshwater Fish	0.0	0.0	0.0	0.0
Sao Tome and Principe	Molluscs, Other	0.0	0.0	0.0	0.0
Sao Tome and Principe	Marine Fish, Other	1.0	0.0	0.0	0.0
Sao Tome and Principe	Fish, Seafood	6.0	0.0	0.0	0.0
Sao Tome and Principe	Demersal Fish	1.0	0.0	0.0	0.0
Sao Tome and Principe	Cephalopods	0.0	0.0	0.0	0.0
South-Eastern Asia	Pelagic Fish	6287.0	2839.0	1979.0	975.0
South-Eastern Asia	Crustaceans	3488.0	310.0	1501.0	81.0
South-Eastern Asia	Freshwater Fish	12648.0	293.0	1918.0	150.0
South-Eastern Asia	Molluscs, Other	770.0	133.0	200.0	24.0
South-Eastern Asia	Marine Fish, Other	4263.0	1285.0	2207.0	934.0
South-Eastern Asia	Fish, Seafood	30856.0	5314.0	8330.0	2164.0
South-Eastern Asia	Demersal Fish	2591.0	190.0	155.0	0.0
South-Eastern Asia	Cephalopods	809.0	264.0	369.0	0.0
Turkmenistan	Pelagic Fish	0.0	2.0	0.0	0.0
Turkmenistan	Crustaceans	0.0	0.0	0.0	0.0
Turkmenistan	Freshwater Fish	15.0	0.0	0.0	0.0
Turkmenistan	Molluscs, Other	0.0	0.0	0.0	0.0
Turkmenistan	Marine Fish, Other	0.0	0.0	0.0	0.0
Turkmenistan	Fish, Seafood	15.0	2.0	0.0	0.0
Turkmenistan	Demersal Fish	0.0	0.0	0.0	0.0
Turkmenistan	Cephalopods	0.0	0.0	0.0	0.0
Lithuania	Pelagic Fish	84.0	83.0	67.0	27.0
Lithuania	Crustaceans	0.0	3.0	1.0	0.0
Lithuania	Freshwater Fish	6.0	50.0	46.0	0.0
Lithuania	Molluscs, Other	0.0	1.0	0.0	0.0
Lithuania	Demersal Fish	4.0	58.0	56.0	0.0
Lithuania	Fish, Seafood	95.0	196.0	171.0	27.0
Lithuania	Cephalopods	0.0	1.0	0.0	0.0
Cambodia	Pelagic Fish	0.0	8.0	0.0	0.0
Cambodia	Crustaceans	19.0	1.0	0.0	0.0
Cambodia	Freshwater Fish	723.0	1.0	32.0	150.0
Cambodia	Molluscs, Other	18.0	0.0	0.0	0.0
Cambodia	Marine Fish, Other	89.0	4.0	3.0	0.0
Cambodia	Fish, Seafood	855.0	14.0	35.0	150.0
Cambodia	Demersal Fish	1.0	0.0	0.0	0.0
Cambodia	Cephalopods	6.0	0.0	0.0	0.0
Ethiopia	Pelagic Fish	0.0	2.0	0.0	0.0
Ethiopia	Crustaceans	0.0	0.0	0.0	0.0
Ethiopia	Freshwater Fish	46.0	0.0	1.0	0.0
Ethiopia	Molluscs, Other	0.0	0.0	0.0	0.0
Ethiopia	Marine Fish, Other	0.0	0.0	0.0	0.0
Ethiopia	Fish, Seafood	46.0	2.0	1.0	0.0
Ethiopia	Demersal Fish	0.0	0.0	0.0	0.0
Ethiopia	Cephalopods	0.0	0.0	0.0	0.0
Micronesia	Pelagic Fish	159.0	1.0	89.0	0.0
Micronesia	Crustaceans	0.0	0.0	0.0	0.0
Micronesia	Freshwater Fish	0.0	0.0	0.0	0.0
Micronesia	Molluscs, Other	0.0	0.0	0.0	0.0
Micronesia	Marine Fish, Other	0.0	0.0	0.0	0.0
Micronesia	Fish, Seafood	161.0	1.0	89.0	0.0
Micronesia	Demersal Fish	2.0	0.0	0.0	0.0
Micronesia	Cephalopods	0.0	0.0	0.0	0.0
Argentina	Pelagic Fish	21.0	49.0	6.0	3.0
Argentina	Crustaceans	246.0	2.0	185.0	0.0
Argentina	Freshwater Fish	26.0	12.0	24.0	0.0
Argentina	Molluscs, Other	39.0	12.0	18.0	0.0
Argentina	Demersal Fish	407.0	1.0	282.0	0.0
Argentina	Fish, Seafood	839.0	77.0	592.0	3.0
Argentina	Cephalopods	99.0	1.0	77.0	0.0
Bolivia	Pelagic Fish	0.0	5.0	0.0	0.0
Bolivia	Crustaceans	0.0	0.0	0.0	0.0
Bolivia	Freshwater Fish	11.0	0.0	0.0	0.0
Bolivia	Molluscs, Other	0.0	0.0	0.0	0.0
Bolivia	Marine Fish, Other	0.0	13.0	0.0	0.0
Bolivia	Fish, Seafood	11.0	18.0	0.0	0.0
Bolivia	Demersal Fish	0.0	0.0	0.0	0.0
Bolivia	Cephalopods	0.0	0.0	0.0	0.0
Cameroon	Pelagic Fish	96.0	121.0	4.0	14.0
Cameroon	Crustaceans	36.0	0.0	0.0	0.0
Cameroon	Freshwater Fish	31.0	11.0	0.0	0.0
Cameroon	Molluscs, Other	0.0	0.0	0.0	0.0
Cameroon	Marine Fish, Other	0.0	57.0	0.0	0.0
Cameroon	Fish, Seafood	236.0	227.0	5.0	14.0
Cameroon	Demersal Fish	73.0	37.0	0.0	0.0
Cameroon	Cephalopods	0.0	0.0	0.0	0.0
Burkina Faso	Pelagic Fish	0.0	76.0	0.0	3.0
Burkina Faso	Crustaceans	0.0	0.0	0.0	0.0
Burkina Faso	Freshwater Fish	22.0	0.0	1.0	0.0
Burkina Faso	Molluscs, Other	0.0	0.0	0.0	0.0
Burkina Faso	Marine Fish, Other	0.0	41.0	0.0	0.0
Burkina Faso	Fish, Seafood	22.0	118.0	1.0	3.0
Burkina Faso	Demersal Fish	0.0	0.0	0.0	0.0
Burkina Faso	Cephalopods	0.0	0.0	0.0	0.0
Ghana	Pelagic Fish	169.0	387.0	31.0	1.0
Ghana	Crustaceans	1.0	0.0	0.0	0.0
Ghana	Freshwater Fish	147.0	2.0	0.0	0.0
Ghana	Molluscs, Other	0.0	0.0	0.0	0.0
Ghana	Marine Fish, Other	15.0	8.0	2.0	0.0
Ghana	Fish, Seafood	380.0	407.0	43.0	1.0
Ghana	Demersal Fish	44.0	10.0	9.0	0.0
Ghana	Cephalopods	4.0	0.0	0.0	0.0
Saudi Arabia	Pelagic Fish	23.0	191.0	6.0	82.0
Saudi Arabia	Crustaceans	51.0	14.0	44.0	0.0
Saudi Arabia	Freshwater Fish	13.0	137.0	4.0	0.0
Saudi Arabia	Molluscs, Other	0.0	0.0	0.0	0.0
Saudi Arabia	Marine Fish, Other	1.0	18.0	6.0	0.0
Saudi Arabia	Fish, Seafood	123.0	400.0	66.0	82.0
Saudi Arabia	Demersal Fish	33.0	39.0	5.0	0.0
Saudi Arabia	Cephalopods	2.0	1.0	0.0	0.0
Eastern Africa	Pelagic Fish	58.0	401.0	198.0	77.0
Eastern Africa	Crustaceans	47.0	4.0	16.0	0.0
Eastern Africa	Freshwater Fish	1494.0	36.0	81.0	0.0
Eastern Africa	Molluscs, Other	6.0	1.0	1.0	0.0
Eastern Africa	Marine Fish, Other	253.0	132.0	33.0	3.0
Eastern Africa	Fish, Seafood	1930.0	580.0	336.0	79.0
Eastern Africa	Demersal Fish	62.0	6.0	3.0	0.0
Eastern Africa	Cephalopods	10.0	1.0	3.0	0.0
Northern Africa	Pelagic Fish	1334.0	521.0	656.0	30.0
Northern Africa	Crustaceans	41.0	47.0	42.0	0.0
Northern Africa	Freshwater Fish	1418.0	20.0	14.0	0.0
Northern Africa	Molluscs, Other	10.0	4.0	4.0	0.0
Northern Africa	Marine Fish, Other	58.0	21.0	8.0	0.0
Northern Africa	Fish, Seafood	3466.0	749.0	855.0	30.0
Northern Africa	Demersal Fish	503.0	119.0	29.0	0.0
Northern Africa	Cephalopods	102.0	18.0	102.0	0.0
European Union	Pelagic Fish	2791.0	6038.0	4684.0	1421.0
European Union	Crustaceans	202.0	1663.0	730.0	7.0
European Union	Freshwater Fish	613.0	2927.0	1700.0	0.0
European Union	Molluscs, Other	873.0	1285.0	701.0	20.0
European Union	Marine Fish, Other	15.0	359.0	122.0	1.0
European Union	Fish, Seafood	6393.0	18300.0	11281.0	1640.0
European Union	Demersal Fish	1803.0	5317.0	3033.0	191.0
European Union	Cephalopods	98.0	712.0	311.0	0.0
Small Island Developing States	Pelagic Fish	553.0	408.0	524.0	21.0
Small Island Developing States	Crustaceans	67.0	20.0	42.0	0.0
Small Island Developing States	Freshwater Fish	36.0	28.0	1.0	0.0
Small Island Developing States	Molluscs, Other	23.0	12.0	3.0	0.0
Small Island Developing States	Marine Fish, Other	145.0	61.0	57.0	10.0
Small Island Developing States	Fish, Seafood	864.0	586.0	640.0	31.0
Small Island Developing States	Demersal Fish	36.0	51.0	11.0	0.0
Small Island Developing States	Cephalopods	4.0	5.0	1.0	0.0
Slovenia	Pelagic Fish	0.0	17.0	9.0	1.0
Slovenia	Crustaceans	0.0	1.0	0.0	0.0
Slovenia	Freshwater Fish	1.0	9.0	5.0	0.0
Slovenia	Molluscs, Other	1.0	2.0	0.0	0.0
Slovenia	Marine Fish, Other	0.0	1.0	0.0	0.0
Slovenia	Fish, Seafood	2.0	41.0	17.0	1.0
Slovenia	Demersal Fish	0.0	7.0	1.0	0.0
Slovenia	Cephalopods	0.0	4.0	1.0	0.0
Guatemala	Pelagic Fish	18.0	35.0	18.0	24.0
Guatemala	Crustaceans	12.0	4.0	12.0	0.0
Guatemala	Freshwater Fish	8.0	2.0	1.0	0.0
Guatemala	Molluscs, Other	0.0	0.0	0.0	0.0
Guatemala	Marine Fish, Other	0.0	19.0	2.0	0.0
Guatemala	Fish, Seafood	39.0	61.0	33.0	24.0
Guatemala	Demersal Fish	0.0	0.0	0.0	0.0
Guatemala	Cephalopods	0.0	0.0	0.0	0.0
Bosnia and Herzegovina	Pelagic Fish	0.0	8.0	0.0	2.0
Bosnia and Herzegovina	Crustaceans	0.0	0.0	0.0	0.0
Bosnia and Herzegovina	Freshwater Fish	3.0	3.0	2.0	0.0
Bosnia and Herzegovina	Molluscs, Other	0.0	0.0	0.0	0.0
Bosnia and Herzegovina	Marine Fish, Other	0.0	1.0	0.0	0.0
Bosnia and Herzegovina	Fish, Seafood	3.0	18.0	3.0	2.0
Bosnia and Herzegovina	Demersal Fish	0.0	4.0	1.0	0.0
Bosnia and Herzegovina	Cephalopods	0.0	1.0	0.0	0.0
Kuwait	Pelagic Fish	1.0	15.0	0.0	0.0
Kuwait	Crustaceans	2.0	4.0	0.0	0.0
Kuwait	Freshwater Fish	0.0	9.0	0.0	0.0
Kuwait	Molluscs, Other	0.0	0.0	0.0	0.0
Kuwait	Marine Fish, Other	0.0	6.0	0.0	0.0
Kuwait	Fish, Seafood	5.0	42.0	0.0	0.0
Kuwait	Demersal Fish	2.0	8.0	0.0	0.0
Kuwait	Cephalopods	0.0	0.0	0.0	0.0
Jordan	Pelagic Fish	0.0	39.0	0.0	4.0
Jordan	Crustaceans	0.0	1.0	0.0	0.0
Jordan	Freshwater Fish	1.0	7.0	0.0	0.0
Jordan	Molluscs, Other	0.0	0.0	0.0	0.0
Jordan	Marine Fish, Other	0.0	7.0	0.0	0.0
Jordan	Fish, Seafood	2.0	61.0	1.0	4.0
Jordan	Demersal Fish	0.0	7.0	0.0	0.0
Jordan	Cephalopods	0.0	0.0	0.0	0.0
Dominica	Pelagic Fish	1.0	0.0	0.0	0.0
Dominica	Crustaceans	0.0	0.0	0.0	0.0
Dominica	Freshwater Fish	0.0	0.0	0.0	0.0
Dominica	Molluscs, Other	0.0	0.0	0.0	0.0
Dominica	Marine Fish, Other	0.0	0.0	0.0	0.0
Dominica	Fish, Seafood	1.0	1.0	0.0	0.0
Dominica	Demersal Fish	0.0	0.0	0.0	0.0
Dominica	Cephalopods	0.0	0.0	0.0	0.0
Liberia	Pelagic Fish	4.0	11.0	0.0	0.0
Liberia	Crustaceans	0.0	0.0	0.0	0.0
Liberia	Freshwater Fish	3.0	0.0	0.0	0.0
Liberia	Molluscs, Other	0.0	0.0	0.0	0.0
Liberia	Marine Fish, Other	2.0	2.0	0.0	0.0
Liberia	Fish, Seafood	15.0	13.0	0.0	0.0
Liberia	Demersal Fish	5.0	1.0	0.0	0.0
Liberia	Cephalopods	0.0	0.0	0.0	0.0
Maldives	Pelagic Fish	141.0	3.0	89.0	0.0
Maldives	Crustaceans	0.0	2.0	0.0	0.0
Maldives	Freshwater Fish	0.0	0.0	0.0	0.0
Maldives	Molluscs, Other	0.0	1.0	0.0	0.0
Maldives	Marine Fish, Other	1.0	0.0	1.0	0.0
Maldives	Fish, Seafood	143.0	6.0	91.0	0.0
Maldives	Demersal Fish	1.0	0.0	1.0	0.0
Maldives	Cephalopods	0.0	0.0	0.0	0.0
Pakistan	Pelagic Fish	197.0	0.0	50.0	83.0
Pakistan	Crustaceans	23.0	0.0	20.0	0.0
Pakistan	Freshwater Fish	298.0	14.0	46.0	0.0
Pakistan	Molluscs, Other	3.0	0.0	1.0	0.0
Pakistan	Marine Fish, Other	21.0	0.0	0.0	20.0
Pakistan	Fish, Seafood	678.0	14.0	218.0	116.0
Pakistan	Demersal Fish	127.0	0.0	101.0	13.0
Pakistan	Cephalopods	9.0	0.0	0.0	0.0
Oman	Pelagic Fish	230.0	12.0	74.0	120.0
Oman	Crustaceans	1.0	4.0	1.0	0.0
Oman	Freshwater Fish	0.0	5.0	3.0	0.0
Oman	Molluscs, Other	0.0	0.0	0.0	0.0
Oman	Marine Fish, Other	8.0	17.0	1.0	0.0
Oman	Fish, Seafood	348.0	44.0	87.0	120.0
Oman	Demersal Fish	99.0	4.0	2.0	0.0
Oman	Cephalopods	10.0	1.0	7.0	0.0
Tanzania	Pelagic Fish	38.0	24.0	30.0	5.0
Tanzania	Crustaceans	4.0	0.0	2.0	0.0
Tanzania	Freshwater Fish	317.0	3.0	26.0	0.0
Tanzania	Molluscs, Other	1.0	0.0	0.0	0.0
Tanzania	Marine Fish, Other	4.0	0.0	2.0	0.0
Tanzania	Fish, Seafood	409.0	28.0	60.0	5.0
Tanzania	Demersal Fish	43.0	0.0	0.0	0.0
Tanzania	Cephalopods	2.0	0.0	1.0	0.0
North Macedonia	Pelagic Fish	0.0	5.0	0.0	0.0
North Macedonia	Crustaceans	0.0	0.0	0.0	0.0
North Macedonia	Freshwater Fish	2.0	1.0	0.0	0.0
North Macedonia	Molluscs, Other	0.0	0.0	0.0	0.0
North Macedonia	Marine Fish, Other	0.0	2.0	0.0	1.0
North Macedonia	Fish, Seafood	2.0	13.0	1.0	1.0
North Macedonia	Demersal Fish	0.0	5.0	1.0	0.0
North Macedonia	Cephalopods	0.0	0.0	0.0	0.0
Cabo Verde	Pelagic Fish	18.0	0.0	29.0	0.0
Cabo Verde	Crustaceans	0.0	0.0	0.0	0.0
Cabo Verde	Freshwater Fish	0.0	0.0	0.0	0.0
Cabo Verde	Molluscs, Other	0.0	0.0	0.0	0.0
Cabo Verde	Marine Fish, Other	0.0	0.0	0.0	0.0
Cabo Verde	Fish, Seafood	20.0	2.0	29.0	0.0
Cabo Verde	Demersal Fish	1.0	0.0	0.0	0.0
Cabo Verde	Cephalopods	0.0	0.0	0.0	0.0
Gabon	Pelagic Fish	8.0	21.0	0.0	0.0
Gabon	Crustaceans	0.0	0.0	0.0	0.0
Gabon	Freshwater Fish	11.0	1.0	0.0	0.0
Gabon	Molluscs, Other	0.0	0.0	0.0	0.0
Gabon	Marine Fish, Other	1.0	5.0	1.0	0.0
Gabon	Fish, Seafood	29.0	35.0	1.0	0.0
Gabon	Demersal Fish	9.0	8.0	0.0	0.0
Gabon	Cephalopods	0.0	0.0	0.0	0.0
Asia	Pelagic Fish	16417.0	15281.0	5402.0	14713.0
Asia	Crustaceans	12284.0	2027.0	3321.0	271.0
Asia	Freshwater Fish	51564.0	1906.0	3276.0	150.0
Asia	Molluscs, Other	17329.0	1164.0	1943.0	24.0
Asia	Marine Fish, Other	8722.0	2611.0	4153.0	1022.0
Asia	Fish, Seafood	118711.0	27620.0	21746.0	16239.0
Asia	Demersal Fish	9835.0	3443.0	2275.0	38.0
Asia	Cephalopods	2560.0	1189.0	1376.0	22.0
Western Asia	Pelagic Fish	644.0	1149.0	192.0	918.0
Western Asia	Crustaceans	63.0	97.0	67.0	0.0
Western Asia	Freshwater Fish	244.0	381.0	67.0	0.0
Western Asia	Molluscs, Other	33.0	17.0	14.0	0.0
Western Asia	Marine Fish, Other	17.0	122.0	12.0	0.0
Western Asia	Fish, Seafood	1415.0	1988.0	546.0	918.0
Western Asia	Demersal Fish	391.0	200.0	164.0	0.0
Western Asia	Cephalopods	22.0	22.0	30.0	0.0
New Zealand	Pelagic Fish	72.0	14.0	60.0	0.0
New Zealand	Crustaceans	4.0	12.0	5.0	0.0
New Zealand	Freshwater Fish	16.0	3.0	7.0	0.0
New Zealand	Molluscs, Other	106.0	3.0	105.0	0.0
New Zealand	Marine Fish, Other	0.0	0.0	0.0	0.0
New Zealand	Fish, Seafood	544.0	52.0	435.0	45.0
New Zealand	Demersal Fish	327.0	15.0	242.0	45.0
New Zealand	Cephalopods	19.0	4.0	17.0	0.0
Yemen	Pelagic Fish	97.0	19.0	42.0	0.0
Yemen	Crustaceans	1.0	0.0	1.0	0.0
Yemen	Freshwater Fish	0.0	0.0	0.0	0.0
Yemen	Molluscs, Other	0.0	0.0	0.0	0.0
Yemen	Demersal Fish	24.0	0.0	10.0	0.0
Yemen	Fish, Seafood	131.0	19.0	59.0	0.0
Yemen	Cephalopods	9.0	0.0	5.0	0.0
Melanesia	Pelagic Fish	118.0	80.0	148.0	10.0
Melanesia	Crustaceans	3.0	1.0	1.0	0.0
Melanesia	Freshwater Fish	1.0	0.0	0.0	0.0
Melanesia	Molluscs, Other	2.0	2.0	0.0	0.0
Melanesia	Marine Fish, Other	32.0	4.0	14.0	0.0
Melanesia	Fish, Seafood	163.0	87.0	166.0	10.0
Melanesia	Demersal Fish	4.0	0.0	1.0	0.0
Melanesia	Cephalopods	3.0	0.0	0.0	0.0
Jamaica	Pelagic Fish	0.0	25.0	0.0	1.0
Jamaica	Crustaceans	0.0	4.0	1.0	0.0
Jamaica	Freshwater Fish	2.0	2.0	0.0	0.0
Jamaica	Molluscs, Other	1.0	3.0	0.0	0.0
Jamaica	Marine Fish, Other	14.0	24.0	0.0	0.0
Jamaica	Fish, Seafood	17.0	60.0	2.0	1.0
Jamaica	Demersal Fish	0.0	1.0	0.0	0.0
Jamaica	Cephalopods	0.0	1.0	0.0	0.0
Albania	Pelagic Fish	0.0	12.0	8.0	0.0
Albania	Crustaceans	0.0	1.0	0.0	0.0
Albania	Freshwater Fish	2.0	0.0	0.0	0.0
Albania	Molluscs, Other	1.0	0.0	0.0	0.0
Albania	Marine Fish, Other	1.0	1.0	0.0	0.0
Albania	Fish, Seafood	7.0	17.0	9.0	0.0
Albania	Demersal Fish	2.0	1.0	0.0	0.0
Albania	Cephalopods	0.0	2.0	1.0	0.0
Samoa	Pelagic Fish	3.0	8.0	3.0	0.0
Samoa	Crustaceans	0.0	0.0	0.0	0.0
Samoa	Freshwater Fish	0.0	0.0	0.0	0.0
Samoa	Molluscs, Other	1.0	0.0	0.0	0.0
Samoa	Marine Fish, Other	5.0	0.0	4.0	0.0
Samoa	Fish, Seafood	10.0	8.0	8.0	0.0
Samoa	Demersal Fish	0.0	0.0	0.0	0.0
Samoa	Cephalopods	0.0	0.0	0.0	0.0
United Arab Emirates	Pelagic Fish	21.0	62.0	24.0	2.0
United Arab Emirates	Crustaceans	1.0	55.0	16.0	0.0
United Arab Emirates	Freshwater Fish	0.0	66.0	5.0	0.0
United Arab Emirates	Molluscs, Other	0.0	7.0	0.0	0.0
United Arab Emirates	Marine Fish, Other	4.0	51.0	4.0	0.0
United Arab Emirates	Fish, Seafood	73.0	304.0	87.0	2.0
United Arab Emirates	Demersal Fish	46.0	55.0	22.0	0.0
United Arab Emirates	Cephalopods	0.0	8.0	16.0	0.0
India	Pelagic Fish	1621.0	39.0	563.0	383.0
India	Crustaceans	1192.0	3.0	624.0	0.0
India	Freshwater Fish	7005.0	31.0	26.0	0.0
