country	country_short	emotion	answer_yes	answer_no	answer_unsure	year
Afghanistan	Afghanistan	anger	40	59	1	2022
Albania	Albania	anger	21	79	0	2022
Algeria	Algeria	anger	23	76	1	2022
Argentina	Argentina	anger	13	86	0	2022
Armenia	Armenia	anger	50	49	0	2022
Australia	Australia	anger	15	85	0	2022
Austria	Austria	anger	17	83	0	2022
Azerbaijan	Azerbaijan	anger	38	60	1	2022
Bangladesh	Bangladesh	anger	27	72	0	2022
Belgium	Belgium	anger	9	90	0	2022
Benin	Benin	anger	32	68	0	2022
Bolivia	Bolivia	anger	29	71	1	2022
Bosnia and Herzegovina	Bosnia and Herzegovina	anger	21	78	1	2022
Botswana	Botswana	anger	19	81	0	2022
Brazil	Brazil	anger	17	83	0	2022
Bulgaria	Bulgaria	anger	8	91	1	2022
Cambodia	Cambodia	anger	24	76	0	2022
Cameroon	Cameroon	anger	24	75	1	2022
Canada	Canada	anger	18	82	0	2022
Chad	Chad	anger	35	65	0	2022
Chile	Chile	anger	13	87	0	2022
Colombia	Colombia	anger	18	82	0	2022
Comoros	Comoros	anger	24	75	0	2022
Costa Rica	Costa Rica	anger	17	83	0	2022
Cote d'Ivoire	Ivory Coast	anger	27	73	0	2022
Croatia	Croatia	anger	11	89	0	2022
Cyprus	Cyprus	anger	18	81	1	2022
Czech Republic	Czech Republic	anger	18	81	1	2022
Democratic Republic of the Congo	Democratic Republic of the Congo	anger	32	67	1	2022
Denmark	Denmark	anger	11	89	0	2022
Dominican Republic	Dominican Republic	anger	14	85	1	2022
Ecuador	Ecuador	anger	19	80	1	2022
Egypt	Egypt	anger	23	77	0	2022
El Salvador	El Salvador	anger	14	85	1	2022
Estonia	Estonia	anger	8	92	0	2022
Eswatini	Eswatini	anger	31	69	1	2022
Ethiopia	Ethiopia	anger	31	69	0	2022
Finland	Finland	anger	6	94	0	2022
France	France	anger	18	82	0	2022
Gabon	Gabon	anger	35	64	0	2022
Gambia	Gambia	anger	32	68	0	2022
Georgia	Georgia	anger	26	74	0	2022
Germany	Germany	anger	13	87	0	2022
Ghana	Ghana	anger	20	80	0	2022
Greece	Greece	anger	10	89	1	2022
Guatemala	Guatemala	anger	14	86	0	2022
Guinea	Guinea	anger	33	67	0	2022
Honduras	Honduras	anger	16	83	0	2022
Hong Kong, S.A.R. of China	Hong Kong	anger	15	85	0	2022
Hungary	Hungary	anger	18	82	0	2022
Iceland	Iceland	anger	8	92	0	2022
India	India	anger	35	65	0	2022
Indonesia	Indonesia	anger	18	81	1	2022
Iran	Iran	anger	39	61	0	2022
Iraq	Iraq	anger	46	54	0	2022
Ireland	Ireland	anger	16	84	0	2022
Israel	Israel	anger	13	86	1	2022
Italy	Italy	anger	9	91	0	2022
Jamaica	Jamaica	anger	20	80	0	2022
Japan	Japan	anger	13	87	0	2022
Jordan	Jordan	anger	43	57	0	2022
Kazakhstan	Kazakhstan	anger	10	88	2	2022
Kenya	Kenya	anger	25	75	0	2022
Kosovo	Kosovo	anger	15	84	1	2022
Kuwait	Kuwait	anger	12	88	0	2022
Kyrgyzstan	Kyrgyzstan	anger	23	77	1	2022
Lao People's Democratic Republic	Laos	anger	32	68	0	2022
Latvia	Latvia	anger	10	90	0	2022
Lebanon	Lebanon	anger	35	65	0	2022
Lesotho	Lesotho	anger	22	78	0	2022
Liberia	Liberia	anger	25	74	0	2022
Libya	Libya	anger	39	61	0	2022
Lithuania	Lithuania	anger	9	87	4	2022
Luxembourg	Luxembourg	anger	17	82	0	2022
