country	country_short	country_code	area	year	anger_yes	anger_unsure	sad_yes	sad_unsure	stressed_yes	stressed_unsure	worried_yes	worried_unsure	pain_yes	pain_unsure	enjoyment_yes	enjoyment_unsure	rested_yes	rested_unsure	learned_yes	learned_unsure	smiled_yes	smiled_unsure	respected_yes	respected_unsure
Afghanistan	Afghanistan	AFG	Asia-Pacific	2022	40	1	57	0	68	1	75	0	49	0	24	2	35	1	15	2	23	1	74	1
Albania	Albania	ALB	Europe	2022	21	0	21	1	47	0	35	0	43	0	64	1	60	1	29	0	71	0	93	1
Algeria	Algeria	DZA	Middle East and North Africa	2022	23	1	19	1	25	1	35	0	34	1	60	2	68	1	43	1	68	2	84	1
Argentina	Argentina	ARG	Americas	2022	13	0	25	0	40	1	46	0	38	0	80	0	76	0	52	0	84	1	96	0
Armenia	Armenia	ARM	Europe	2022	50	0	52	0	33	1	62	0	39	0	56	1	45	1	42	1	58	2	97	0
Australia	Australia	AUS	Asia-Pacific	2022	15	0	23	0	42	0	36	0	28	0	77	0	66	0	61	0	75	0	92	0
Austria	Austria	AUT	Europe	2022	17	0	22	0	32	0	29	0	23	0	79	0	82	0	62	0	74	0	90	0
Azerbaijan	Azerbaijan	AZE	Europe	2022	38	1	33	1	40	1	47	2	43	1	50	4	55	1	37	3	67	5	83	3
Bangladesh	Bangladesh	BGD	Asia-Pacific	2022	27	0	47	0	39	2	60	0	47	0	55	1	59	1	15	1	46	2	75	3
Belgium	Belgium	BEL	Europe	2022	9	0	21	1	39	1	41	1	34	0	77	2	64	1	61	1	74	2	92	2
Benin	Benin	BEN	Sub-Saharan Africa	2022	32	0	41	0	36	3	60	0	58	0	48	1	55	0	52	0	71	0	77	1
Bolivia	Bolivia	BOL	Americas	2022	29	1	40	1	52	1	59	0	39	0	78	1	71	1	64	1	78	1	93	0
Bosnia and Herzegovina	Bosnia and Herzegovina	BIH	Europe	2022	21	1	21	1	34	1	44	0	30	0	62	2	57	0	39	1	59	2	89	2
Botswana	Botswana	BWA	Sub-Saharan Africa	2022	19	0	29	0	37	0	38	0	43	0	62	0	71	0	48	0	76	0	87	0
Brazil	Brazil	BRA	Americas	2022	17	0	28	0	41	0	57	0	42	0	71	1	64	0	57	0	74	0	96	0
Bulgaria	Bulgaria	BGR	Europe	2022	8	1	18	2	23	2	24	2	25	1	62	4	64	1	42	1	63	4	87	4
Cambodia	Cambodia	KHM	Asia-Pacific	2022	24	0	40	0	42	0	52	0	30	0	84	0	68	0	55	0	87	0	82	1
Cameroon	Cameroon	CMR	Sub-Saharan Africa	2022	24	1	33	0	42	1	51	2	47	1	50	2	66	0	57	0	67	1	80	0
Canada	Canada	CAN	Americas	2022	18	0	25	0	51	0	44	0	31	0	81	0	68	0	59	0	75	0	92	0
Chad	Chad	TCD	Sub-Saharan Africa	2022	35	0	54	1	50	2	59	2	68	0	57	0	68	1	54	1	63	1	75	1
Chile	Chile	CHL	Americas	2022	13	0	22	0	37	0	40	0	33	0	85	1	73	1	61	0	85	0	97	0
Colombia	Colombia	COL	Americas	2022	18	0	27	0	47	0	47	0	36	0	77	1	74	0	68	0	82	0	96	0
Comoros	Comoros	COM	Sub-Saharan Africa	2022	24	0	35	0	43	0	46	1	45	0	65	0	65	1	45	3	68	2	88	1
Costa Rica	Costa Rica	CRI	Americas	2022	17	0	23	1	47	0	41	0	36	0	83	1	76	1	66	1	87	1	97	0
Cote d'Ivoire	Ivory Coast	CIV	Sub-Saharan Africa	2022	27	0	38	0	34	2	54	0	56	0	57	0	66	0	58	0	73	0	84	0
Croatia	Croatia	HRV	Europe	2022	11	0	15	2	36	1	54	1	28	0	59	1	70	1	43	0	64	4	84	1
Cyprus	Cyprus	CYP	Europe	2022	18	1	24	1	55	0	46	0	31	0	75	0	55	0	48	0	73	1	89	2
Czech Republic	Czech Republic	CZE	Europe	2022	18	1	20	1	35	1	35	0	30	0	82	1	54	2	54	2	82	2	92	3
Democratic Republic of the Congo	Democratic Republic of the Congo	COD	Sub-Saharan Africa	2022	32	1	47	0	42	6	59	0	53	0	54	1	61	0	49	2	64	1	68	1
Denmark	Denmark	DNK	Europe	2022	11	0	17	0	25	0	34	0	28	0	90	0	68	1	70	0	75	1	94	1
Dominican Republic	Dominican Republic	DOM	Americas	2022	14	1	30	1	49	1	48	1	38	0	69	1	72	0	65	2	79	1	93	1
Ecuador	Ecuador	ECU	Americas	2022	19	1	35	1	55	1	53	0	38	0	80	1	74	2	65	1	84	2	95	1
Egypt	Egypt	EGY	Middle East and North Africa	2022	23	0	29	0	45	0	40	0	45	0	43	0	58	0	33	0	70	0	91	0
El Salvador	El Salvador	SLV	Americas	2022	14	1	31	0	49	1	43	1	39	0	81	1	77	1	72	1	89	1	97	0
Estonia	Estonia	EST	Europe	2022	8	0	19	1	23	1	29	1	20	0	84	2	67	1	65	1	77	1	95	2
Eswatini	Eswatini	SWZ	Sub-Saharan Africa	2022	31	1	35	2	47	0	51	0	39	0	70	1	68	1	51	2	76	0	83	1
Ethiopia	Ethiopia	ETH	Sub-Saharan Africa	2022	31	0	30	0	33	0	39	0	31	0	65	1	53	0	37	1	65	0	62	0
Finland	Finland	FIN	Europe	2022	6	0	14	0	41	0	37	0	26	0	74	0	65	0	71	1	77	0	94	1
France	France	FRA	Europe	2022	18	0	23	0	34	0	34	0	32	0	74	0	68	1	61	0	70	0	91	1
Gabon	Gabon	GAB	Sub-Saharan Africa	2022	35	0	36	0	33	0	52	0	45	0	56	1	68	0	62	1	79	0	84	0
Gambia	Gambia	GMB	Sub-Saharan Africa	2022	32	0	44	0	46	0	55	0	53	0	71	1	64	0	59	1	85	0	88	1
Georgia	Georgia	GEO	Europe	2022	26	0	16	0	19	0	28	1	34	0	60	1	58	0	27	0	62	1	95	1
Germany	Germany	DEU	Europe	2022	13	0	19	0	35	0	29	1	30	0	70	1	67	0	57	2	70	2	92	1
Ghana	Ghana	GHA	Sub-Saharan Africa	2022	20	0	29	0	49	0	39	0	38	0	48	1	70	0	55	1	81	1	88	0
Greece	Greece	GRC	Europe	2022	10	1	14	1	54	0	31	0	23	0	68	1	60	0	38	0	70	0	93	1
Guatemala	Guatemala	GTM	Americas	2022	14	0	26	0	39	0	39	0	35	0	87	0	78	0	72	1	91	0	95	0
Guinea	Guinea	GIN	Sub-Saharan Africa	2022	33	0	50	1	42	2	64	0	55	0	65	1	75	0	67	1	76	0	85	0
Honduras	Honduras	HND	Americas	2022	16	0	29	0	43	1	41	0	34	0	83	1	74	0	63	1	83	2	95	0
Hong Kong, S.A.R. of China	Hong Kong	HKG	Asia-Pacific	2022	15	0	12	0	42	0	34	0	18	0	61	0	76	0	39	0	64	0	84	1
Hungary	Hungary	HUN	Europe	2022	18	0	22	0	33	0	34	0	31	0	75	1	51	0	47	0	66	1	91	1
Iceland	Iceland	ISL	Europe	2022	8	0	16	0	37	0	29	0	40	0	88	1	61	1	57	1	84	0	95	1
India	India	IND	Asia-Pacific	2022	35	0	44	0	29	0	51	0	43	0	69	0	66	0	40	0	70	0	81	0
Indonesia	Indonesia	IDN	Asia-Pacific	2022	18	1	25	0	14	0	37	0	23	0	86	0	86	0	68	0	91	0	94	0
Iran	Iran	IRN	Middle East and North Africa	2022	39	0	41	0	51	0	59	0	34	0	58	0	67	0	38	0	60	0	89	0
Iraq	Iraq	IRQ	Middle East and North Africa	2022	46	0	45	0	53	0	59	0	61	0	58	0	56	0	47	0	64	0	87	0
Ireland	Ireland	IRL	Europe	2022	16	0	22	0	35	0	32	0	22	0	89	0	77	0	58	0	74	0	88	0
Israel	Israel	ISR	Middle East and North Africa	2022	13	1	12	1	24	1	30	0	16	1	62	1	62	0	53	0	59	0	89	1
Italy	Italy	ITA	Europe	2022	9	0	31	0	45	0	49	0	25	0	66	0	65	0	52	0	69	1	91	0
