country	country_short	country_code	area	year	anger_yes	anger_unsure	sad_yes	sad_unsure	stressed_yes	stressed_unsure	worried_yes	worried_unsure	pain_yes	pain_unsure	enjoyment_yes	enjoyment_unsure	rested_yes	rested_unsure	learned_yes	learned_unsure	smiled_yes	smiled_unsure	respected_yes	respected_unsure
Afghanistan	Afghanistan	AFG	Asia-Pacific	2023	25	2	45	0	53	1	67	0	42	0	33	1	46	0	17	2	28	1	67	2
Albania	Albania	ALB	Europe	2023	24	0	29	1	49	1	40	0	46	0	68	1	65	1	35	1	74	1	92	1
Argentina	Argentina	ARG	Americas	2023	15	0	28	0	42	1	47	0	41	0	79	1	70	0	54	0	82	0	94	0
Armenia	Armenia	ARM	Europe	2023	42	0	36	0	27	1	48	0	38	0	60	1	50	0	42	1	68	1	96	1
Australia	Australia	AUS	Asia-Pacific	2023	14	0	24	0	43	0	37	0	32	0	79	0	66	0	63	0	76	0	91	1
Austria	Austria	AUT	Europe	2023	17	0	20	0	36	0	35	0	28	0	79	0	77	0	62	0	72	0	89	1
Azerbaijan	Azerbaijan	AZE	Europe	2023	20	1	22	2	14	1	25	0	27	0	50	1	57	0	40	1	60	2	86	5
Bahrain	Bahrain	BHR	Middle East and North Africa	2023	27	0	33	0	43	1	42	0	35	0	67	1	73	0	54	1	79	1	92	1
Bangladesh	Bangladesh	BGD	Asia-Pacific	2023	28	0	45	0	38	0	57	0	47	0	58	0	65	0	17	0	55	0	86	0
Belgium	Belgium	BEL	Europe	2023	14	0	21	0	37	0	39	0	35	0	77	0	64	0	61	1	79	0	93	1
Benin	Benin	BEN	Sub-Saharan Africa	2023	32	0	38	0	39	1	57	0	56	0	48	0	57	0	56	0	68	0	80	0
Bolivia	Bolivia	BOL	Americas	2023	28	0	38	0	54	1	55	0	38	0	77	1	70	2	64	1	80	2	94	1
Bosnia and Herzegovina	Bosnia and Herzegovina	BIH	Europe	2023	21	1	17	1	27	1	37	1	29	1	66	2	58	2	46	1	58	4	91	2
Botswana	Botswana	BWA	Sub-Saharan Africa	2023	15	0	26	0	27	0	33	0	38	0	64	0	70	0	56	0	76	0	90	0
