Country	country_code	area	total_Average_MHQ_Score	total_pct_Distressed	total_pct_Struggling	total_pct_Enduring	total_pct_Managing	total_pct_Succeeding	total_pct_Thriving	total_Average_Cognition_Score	total_Average_Adaptability_et_Resilence_Score	total_Average_Drive_et_Motivation_Score	total_Average_Mood_et_Outlook_Score	total_Average_Social_Self_Score	total_Average_Mind-Body_Connection_Score	total_Sample_Size	f_Average_MHQ_Score	f_pct_Distressed	f_pct_Struggling	f_pct_Enduring	f_pct_Managing	f_pct_Succeeding	f_pct_Thriving	f_Average_Cognition_Score	f_Average_Adaptability_&_Resilence_Score	f_Average_Drive_&_Motivation_Score	f_Average_Mood_&_Outlook_Score	f_Average_Social_Self_Score	f_Average_Mind-Body_Connection_Score	f_Sample_Size	m_Average_MHQ_Score	m_pct_Distressed	m_pct_Struggling	m_pct_Enduring	m_pct_Managing	m_pct_Succeeding	m_pct_Thriving	m_Average_Cognition_Score	m_Average_Adaptability_&_Resilence_Score	m_Average_Drive_&_Motivation_Score	m_Average_Mood_&_Outlook_Score	m_Average_Social_Selm_Score	m_Average_Mind-Body_Connection_Score	m_Sample_Size
Algeria	DZA	Middle East and North Africa	63.76	4.22	20.30	15.00	25.13	27.24	8.12	73.22	85.37	76.79	64.12	70.19	69.90	11831	61.87	4.21	20.92	15.41	24.86	27.68	6.92	72.56	89.12	73.69	61.16	71.02	61.29	6391	65.63	4.24	19.68	14.59	25.39	26.80	9.30	73.88	81.66	79.86	67.04	69.36	78.44	5440
Angola	AGO	Sub-Saharan Africa	64.27	5.31	21.57	14.23	20.62	26.81	11.48	74.21	87.33	85.65	65.92	71.83	72.97	4686	52.64	7.27	25.87	15.40	18.93	22.56	9.97	66.20	85.55	75.29	52.74	62.11	59.02	2538	76.51	3.24	17.03	12.99	22.39	31.28	13.08	82.64	89.20	96.57	79.81	82.07	87.65	2148
Argentina	ARG	Latin America and Caribbean	70.83	4.89	19.50	12.85	19.84	29.00	13.92	86.87	89.79	89.22	68.14	70.92	78.26	17872	67.90	5.63	20.77	12.36	19.77	27.87	13.60	85.80	90.46	86.45	64.61	71.15	69.32	10120	74.01	4.08	18.13	13.39	19.91	30.23	14.26	88.05	89.06	92.23	71.98	70.66	87.98	7752
Armenia	ARM	Eastern Europe and Central Asia	79.59	2.89	15.65	11.87	24.83	34.51	10.26	94.94	104.22	96.06	75.94	75.04	82.49	723	79.92	3.73	16.80	9.17	25.26	32.25	12.79	93.59	102.68	92.57	75.89	82.45	74.35	557	79.19	1.85	14.24	15.14	24.31	37.27	7.18	96.57	106.09	100.31	76.00	66.01	92.39	166
Australia	AUS	Oceania	53.58	6.71	26.16	15.03	20.44	20.98	10.68	70.09	69.78	66.01	53.69	53.45	61.84	4462	53.57	6.87	26.42	13.63	21.48	20.91	10.69	70.60	71.53	64.53	52.96	57.46	55.30	2190	53.59	6.53	25.90	16.47	19.36	21.06	10.67	69.56	67.98	67.53	54.43	49.35	68.54	2272
Azerbaijan	AZE	Eastern Europe and Central Asia	61.98	3.25	15.34	22.48	25.55	27.52	5.87	72.47	76.32	70.19	60.54	68.52	65.86	438	67.22	1.58	19.53	12.74	31.87	29.19	5.09	82.27	85.01	75.47	64.61	70.06	62.71	341	57.12	4.79	11.46	31.49	19.70	25.98	6.58	63.40	68.28	65.29	56.78	67.10	68.77	97
Bangladesh	BGD	South Asia	61.69	5.24	21.00	15.40	23.38	26.84	8.15	73.15	86.69	79.94	61.24	63.71	69.87	3075	54.53	6.58	23.88	15.88	21.10	26.33	6.24	69.33	85.40	71.60	52.95	59.30	58.19	1745	69.84	3.71	17.71	14.85	25.98	27.42	10.33	77.50	88.16	89.42	70.69	68.73	83.17	1330
Belarus	BLR	Eastern Europe and Central Asia	64.51	2.97	20.47	12.59	31.32	26.30	6.35	79.68	88.51	79.63	61.11	67.02	65.38	614	63.69	3.79	18.96	14.46	30.95	24.50	7.33	77.15	89.23	72.86	60.96	70.79	57.08	470	65.50	1.98	22.28	10.35	31.77	28.46	5.16	82.72	87.63	87.77	61.29	62.49	75.35	144
Belgium	BLG	Western Europe	64.04	4.64	19.92	15.47	22.86	28.87	8.24	81.59	84.91	81.09	62.71	60.33	70.01	1757	56.82	6.46	20.69	15.39	25.67	25.97	5.83	76.43	81.36	73.83	54.56	56.33	61.20	774	71.53	2.75	19.12	15.56	19.95	31.88	10.74	86.94	88.59	88.62	71.17	64.48	79.15	983
Bolivia	BOL	Latin America and Caribbean	60.10	6.67	23.06	13.94	18.93	26.45	10.95	74.05	88.54	80.57	59.92	57.73	72.61	3086	54.12	8.01	25.42	13.43	18.19	24.48	10.47	70.56	88.23	73.68	53.68	53.91	62.31	1758	66.16	5.32	20.66	14.45	19.69	28.45	11.43	77.58	88.85	87.55	66.25	61.61	83.04	1328
Brazil	BRA	Latin America and Caribbean	52.97	8.46	25.52	14.44	18.28	21.84	11.46	68.19	81.18	76.21	52.03	59.60	60.93	19414	42.79	11.02	28.48	14.16	17.61	19.43	9.30	58.94	77.42	65.52	42.82	54.95	43.73	11230	63.79	5.74	22.36	14.75	18.99	24.39	13.76	78.01	85.17	87.57	61.82	64.53	79.21	8184
