# Okulicz-Kozaryn (2011) Does religious diversity make us unhappy
# http://dx.doi.org/10.1080/13674676.2010.550277
# Table 5 Means of main variables by country
code	name	region	happiness	fractionalization	polarization	gdp__n000	kkz	year	sample_size
ALB	Albania	Europe	5.2	0.47	NA	4	-0.59	2002	1000
ARG	Argentina	Americas	7.3	0.22	0.18	12	0.22	1999	1280
ARM	Armenia	Europe	4.3	0.46	NA	2	-0.52	1997	2000
AUS	Australia	Asia-Pacific	7.6	0.82	0.04	23	1.63	1995	2048
AUT	Austria	Europe	8	0.41	0.05	28	1.53	1999	1522
AZE	Azerbaijan	Europe	5.4	0.49	NA	2	-0.99	1997	2002
BEL	Belgium	Europe	7.4	0.21	0.07	26	1.14	1999	1912
BGD	Bangladesh	Asia-Pacific	5.8	0.21	0.5	2	-0.81	2002	1500
BGR	Bulgaria	Europe	5.5	0.6	NA	6	-0.04	1999	1000
BLR	Belarus	Europe	4.8	0.61	NA	5	-1.08	2000	1000
BRA	Brazil	Americas	7.2	0.61	0.62	7	-0.06	1997	1149
CAN	Canada	Americas	7.8	0.7	0.16	27	1.61	2000	1931
CHE	Switzerland	Europe	8	0.61	0.03	29	1.88	1996	1212
CHL	Chile	Americas	7.1	0.38	0.27	9	1.06	2000	1200
CHN	China	Asia-Pacific	6.5	0.66	0.82	4	-0.39	2001	1000
COL	Colombia	Americas	8.4	0.15	0.31	6	-0.48	1998	2996
CZE	Czech Republic	Europe	7.1	0.66	NA	15	0.67	1999	1908
DEU	Germany	Europe	7.4	0.66	0.12	25	1.53	1999	2036
DNK	Denmark	Europe	8.2	0.23	0.01	28	1.7	1999	1023
DOM	Dominican Republic	Americas	7.1	0.31	1	5	-0.27	1996	417
DZA	Algeria	Middle East and North Africa	5.7	0.01	0.03	6	-0.89	2002	1282
EGY	Egypt	Middle East and North Africa	5.4	0.2	0.36	4	-0.19	2000	3000
ESP	Spain	Europe	7	0.45	0	21	1.32	2000	1209
EST	Estonia	Europe	5.9	0.5	NA	9	0.75	1999	1005
FIN	Finland	Europe	7.9	0.25	0.01	26	1.85	2000	1038
FRA	France	Europe	7	0.4	0.19	25	1.18	1999	1615
