# Nutrient Content of the US Food Supply 1907-1997
# Table 5: Food energy contributed from major food groups to the U.S. food supply, selected years 
Year 	Meat	Poultry	Fish	Total meats	Whole milk	Lowfat milk	Cheese 	Other Dairy	Total Dairy	Eggs 	Legumes_nuts_soy	Grain products	Citrus	Non-citrus	Total Fruits	White_potatoes	Dark green deep yellow vegetables	Tomatoes	Other vegetables	Total vegetables	Butter	Margerine	Shortening	Lard and beef tallow 	Edible oils 	Total fats	Sugars and sweeteners	Miscellaneous
1909-19	13.3	0.9	0.6	14.7	5.1	0.8	0.6	2.1	8.5	1.8	2.3	37.6	0.2	2.7	2.9	4.0	0.9	0.4	1.3	6.5	4.4	0.6	3.1	3.8	0.7	12.6	12.8	0.4
1920-29	13.0	0.9	0.5	14.4	5.6	0.7	0.7	2.8	9.8	1.9	2.4	32.2	0.3	2.8	3.1	3.5	0.9	0.4	1.4	6.1	4.6	0.7	2.7	4.3	1.4	13.6	16.0	0.5
1930-39	12.5	0.9	0.5	13.9	5.9	0.6	0.8	3.3	10.7	1.9	2.8	29.5	0.5	2.7	3.2	3.2	0.9	0.4	1.6	6.0	4.8	0.7	3.5	4.2	2.0	15.2	16.4	0.6
1940-49	14.7	1.2	0.5	16.4	7.2	0.6	1.0	3.7	12.5	2.2	3.1	26.6	0.7	2.5	3.2	2.9	0.8	0.5	1.6	5.8	3.4	1.1	3.2	4.3	2.4	14.4	15.2	0.7
1950-59	15.5	1.5	0.6	17.6	7.2	0.5	1.3	3.6	12.5	2.5	3.0	22.7	0.8	2.4	3.2	2.7	0.5	0.5	1.5	5.2	2.5	2.3	3.9	3.8	3.4	15.9	16.8	0.7
1960-69	16.3	2.2	0.5	19.0	6.2	0.7	1.6	3.2	11.7	2.1	3.0	21.2	0.8	2.1	2.9	2.8	0.4	0.5	1.4	5.1	1.9	2.9	5.1	2.2	4.8	16.9	17.5	0.8
1970	16.4	2.7	0.5	19.6	5.2	1.1	1.8	2.9	10.9	2.0	2.9	19.8	0.9	2.0	2.9	2.8	0.4	0.6	1.5	5.2	1.5	3.0	5.9	1.6	6.0	17.9	18.0	1.0
1971	16.8	2.7	0.5	20.1	5.1	1.1	1.9	2.8	10.9	2.0	3.0	19.7	0.9	2.0	3.0	2.7	0.4	0.6	1.4	5.1	1.4	3.0	5.7	1.5	6.0	17.6	18.0	1.0
1972	16.1	2.8	0.6	19.5	4.9	1.2	2.0	2.7	10.8	1.9	3.0	19.4	1.0	1.9	2.8	2.7	0.4	0.6	1.4	5.1	1.4	3.1	6.0	1.3	6.4	18.1	18.3	1.1
1973	14.9	2.7	0.6	18.2	4.7	1.3	2.0	2.8	10.9	1.9	3.3	20.1	1.0	2.0	2.9	2.7	0.4	0.6	1.5	5.1	1.3	3.1	5.8	1.2	6.9	18.3	18.5	1.1
1974	15.8	2.7	0.6	19.1	4.4	1.3	2.2	2.7	10.6	1.8	3.0	20.7	1.0	2.0	3.0	2.6	0.4	0.6	1.5	5.1	1.2	3.1	5.8	1.1	6.8	18.0	17.9	1.1
1975	14.6	2.7	0.5	17.8	4.3	1.2	2.2	2.7	10.4	1.8	3.3	21.5	1.1	2.1	3.2	2.8	0.4	0.6	1.5	5.3	1.3	3.1	5.9	1.1	6.9	18.3	17.6	1.0
1976	14.8	2.8	0.6	18.2	4.0	1.5	2.3	2.6	10.4	1.7	3.1	21.4	1.1	2.0	3.1	2.7	0.4	0.6	1.5	5.2	1.2	3.2	5.9	1.0	7.1	18.4	17.8	1.1
1977	14.8	2.9	0.5	18.2	3.9	1.6	2.4	2.6	10.4	1.7	3.1	21.3	1.1	2.0	3.1	2.7	0.3	0.6	1.5	5.1	1.2	3.1	5.8	0.9	7.1	18.0	18.3	1.0
1978	14.4	3.0	0.6	18.0	3.8	1.6	2.5	2.6	10.4	1.7	3.1	21.2	1.0	2.1	3.1	2.6	0.3	0.6	1.4	5.0	1.2	3.1	6.1	0.8	7.5	18.6	18.1	1.0
1979	14.1	3.2	0.6	17.8	3.6	1.6	2.5	2.6	10.3	1.8	3.1	21.6	1.0	2.1	3.1	2.6	0.4	0.6	1.4	5.0	1.2	3.0	6.2	1.0	7.4	18.8	17.7	1.0
1980	14.3	3.2	0.5	18.0	3.4	1.7	2.5	2.6	10.1	1.7	2.8	21.7	1.1	2.2	3.3	2.6	0.3	0.6	1.4	4.9	1.2	3.1	6.1	1.2	7.5	19.1	17.7	1.0
1981	14.1	3.3	0.6	17.9	3.2	1.7	2.6	2.5	10.0	1.7	3.0	21.8	1.0	2.2	3.2	2.6	0.4	0.6	1.4	4.9	1.1	3.0	6.2	1.2	7.7	19.2	17.5	1.0
1982	13.3	3.3	0.5	17.1	3.0	1.7	2.9	2.5	10.1	1.7	3.3	22.2	1.0	2.3	3.3	2.6	0.4	0.6	1.4	4.9	1.2	3.0	6.2	1.3	7.7	19.4	17.3	1.0
1983	13.5	3.3	0.5	17.3	2.9	1.7	2.9	2.6	10.1	1.6	3.2	21.8	1.1	2.2	3.4	2.6	0.4	0.6	1.3	4.9	1.3	2.8	6.1	1.4	8.2	19.7	17.2	1.0
1984	13.2	3.3	0.6	17.1	2.8	1.8	3.0	2.7	10.2	1.6	3.1	21.7	0.9	2.4	3.3	2.6	0.4	0.6	1.3	4.9	1.3	2.8	6.9	1.3	7.9	20.1	17.3	1.1
