# Nutrient Content of the US Food Supply 1907-1997
# Table 8: Protein contributed from major food groups to the U.S. food supply, selected years
Year 	Meat	Poultry	Fish	Total meats	Whole milk	Lowfat milk	Cheese 	Other Dairy	Total Dairy	Eggs 	Legumes_nuts_soy	Grain products	Citrus	Non-citrus	Total Fruits	White_potatoes	Dark green deep yellow vegetables	Tomatoes	Other vegetables	Total vegetables	Butter	Margerine	Shortening	Lard and beef tallow 	Edible oils 	Total fats	Sugars and sweeteners	Miscellaneous
1909-19	24.2	3.1	2.3	30.0	9.1	2.5	1.4	1.4	14.5	5.2	4.9	36.7	0.2	0.9	1.1	3.7	0.6	0.5	2.1	6.9	0.2	0.0	0.0	0.0	0900.0	0.2	0.0	0.7
1920-29	24	3.2	2.8	30.1	10.4	2.3	1.7	2.4	16.8	5.8	4.8	32.9	0.2	1.0	1.3	3.3	0.7	0.5	2.5	7.0	0.2	0.0	0.0	0.0	0.0	0.2	0.0	1.1
1930-39	23.3	3.4	2.8	29.4	11	2.1	2	3.6	18.8	5.7	5.7	30.4	0.4	1.0	1.4	3.0	0.8	0.6	2.8	7.1	0.2	0.0	0.0	0.0	0.0	0.2	0.0	1.3
1940-49	25.4	4.3	2.6	32.0	12.4	1.7	2.4	4.7	21.3	6.1	5.7	25.5	0.5	0.9	1.4	2.6	0.7	0.6	2.6	6.5	0.1	0.0	0.0	0.0	0.0	0.2	0.0	1.4
1950-59	26.6	5.0	2.8	34.4	12.5	1.3	3.5	5.6	22.9	6.9	5.4	21.6	0.5	0.8	1.3	2.4	0.5	0.6	2.4	5.9	0.1	0.1	0.0	0.0	0.0	0.2	0.0	1.3
1960-69	27.8	7.2	2.8	37.8	10.8	2.1	4.2	5.2	22.4	6.0	5.4	20.1	0.4	0.7	1.2	2.4	0.4	0.5	2.2	5.6	0.1	0.1	0.0	0.0	0.0	0.2	0.0	1.5
1970	28.4	8.5	3.0	39.9	9.3	2.9	4.7	5.0	21.8	5.6	5.3	18.9	0.5	0.7	1.2	2.5	0.4	0.6	2.2	5.7	0.1	0.1	0.0	0.0	0.0	0.2	0.0	1.5
1971	28.9	8.5	2.9	40.2	9.0	3.0	4.9	4.9	21.8	5.6	5.3	18.7	0.5	0.7	1.2	2.4	0.4	0.7	2.2	5.6	0.1	0.1	0.0	0.0	0.0	0.2	0.0	1.5
1972	28.2	8.8	3.1	40.2	8.7	3.1	5.2	4.6	21.7	5.5	5.7	18.5	0.6	0.6	1.2	2.4	0.4	0.7	2.1	5.5	0.1	0.1	0.0	0.0	0.0	0.2	0.0	1.7
1973	26.5	8.6	3.3	38.3	8.4	3.4	5.4	4.9	22.1	5.3	6.3	19.3	0.6	0.7	1.2	2.4	0.4	0.6	2.2	5.6	0.1	0.1	0.0	0.0	0.0	0.2	0.0	1.6
