# Nutrient Content of the US Food Supply 1907-1997
#Table 9: Fat contributed from major food groups to the U.S. food supply, selected years
Year 	Meat	Poultry	Fish	Total meats	Whole milk	Lowfat milk	Cheese 	Other Dairy	Total Dairy	Eggs 	Legumes_nuts_soy	Grain products	Citrus	Non-citrus	Total Fruits	White_potatoes	Dark green deep yellow vegetables	Tomatoes	Other vegetables	Total vegetables	Butter	Margerine	Shortening	Lard and beef tallow 	Edible oils 	Total fats	Sugars and sweeteners	Miscellaneous
1909-19	32.3	1.5	0.7	34.5	8.4	0.2	1.3	4.8	14.8	3.3	2.2	4.0	0.0	0.5	0.5	0.1	0.1	0.1	0.3	0.6	14.1	1.8	9.9	11.8	2.2	39.8	0.0	0.3
1920-29	29.9	1.4	0.6	31.9	8.8	0.2	1.4	6.2	16.7	3.4	2.7	3.3	0.0	0.5	0.5	0.1	0.1	0.1	0.3	0.6	13.8	1.9	8.1	12.5	4.1	40.5	0.0	0.4
1930-39	27.3	1.4	0.5	29.3	8.8	0.2	1.6	6.6	17.2	3.1	3.0	2.8	0.0	0.4	0.5	0.1	0.1	0.1	0.3	0.6	13.7	1.9	9.9	11.8	5.6	43	0.0	0.5
1940-49	30.2	1.8	0.5	32.5	10.1	0.2	1.8	6.1	18.2	3.4	3.5	2.3	0.1	0.4	0.4	0.1	0.1	0.1	0.3	0.6	9.2	3	8.6	11.4	6.3	38.5	0.0	0.5
1950-59	30.3	2.1	0.5	32.8	9.3	0.2	2.2	4.8	16.6	3.7	3.3	1.8	0.0	0.4	0.4	0.1	0.1	0.1	0.3	0.5	6.5	5.9	9.8	9.5	8.7	40.4	0.0	0.5
1960-69	30.9	3.1	0.4	34.4	7.7	0.3	2.6	3.8	14.4	3.1	3.6	1.6	0.0	0.3	0.4	0.1	0.0	0.1	0.2	0.4	4.6	7	12.6	5.4	11.9	41.5	0.0	0.6
1970	30.4	4.0	0.4	34.7	6.2	0.6	2.8	3.1	12.7	2.9	3.5	1.4	0.0	0.3	0.4	0.1	0.0	0.1	0.2	0.4	3.6	7.2	14.2	3.8	14.5	43.4	0.0	0.7
1971	31.2	4.0	0.4	35.6	6.1	0.6	2.9	3.0	12.6	2.9	3.5	1.4	0.1	0.3	0.3	0.1	0.0	0.1	0.2	0.4	3.4	7.3	13.7	3.5	14.6	42.6	0.0	0.7
1972	29.7	4.1	0.4	34.2	5.9	0.7	3.1	3.0	12.6	2.8	3.7	1.4	0.1	0.3	0.4	0.1	0.0	0.1	0.2	0.4	3.3	7.4	14.4	3.1	15.6	43.8	0.0	0.7
1973	28.0	4.0	0.4	32.5	5.7	0.8	3.3	3.0	12.9	2.7	3.8	1.5	0.1	0.3	0.3	0.1	0.0	0.1	0.2	0.4	3.3	7.6	14.4	2.8	17.1	45.2	0.0	0.7
1974	29.5	4.0	0.4	33.8	5.3	0.8	3.5	3.0	12.5	2.7	3.5	1.9	0.1	0.3	0.4	0.1	0.0	0.1	0.2	0.4	3	7.6	14.1	2.6	16.7	44	0.0	0.7
1975	27.4	4.0	0.3	31.7	5.2	0.8	3.5	3.2	12.8	2.7	3.9	2.0	0.1	0.4	0.4	0.1	0.0	0.1	0.2	0.5	3.3	7.7	14.5	2.7	17.2	45.4	0.0	0.6
1976	27.7	4.2	0.4	32.2	4.9	0.9	3.7	3.0	12.5	2.5	3.6	1.9	0.1	0.3	0.4	0.1	0.0	0.1	0.2	0.5	2.9	8	14.7	2.4	17.8	45.7	0.0	0.7
1977	28.0	4.3	0.4	32.6	4.7	1.0	3.9	3.0	12.6	2.5	3.6	2.1	0.1	0.4	0.4	0.1	0.0	0.1	0.2	0.5	2.9	7.7	14.5	2.1	17.8	45.1	0.0	0.7
1978	26.9	4.4	0.4	31.7	4.5	1.0	4.0	3.0	12.6	2.6	3.7	2.1	0.1	0.4	0.4	0.1	0.0	0.1	0.2	0.4	3	7.6	14.9	2	18.5	46	0.0	0.7
1979	26.5	4.6	0.4	31.5	4.3	1.1	4.1	2.9	12.3	2.6	3.6	2.1	0.1	0.3	0.4	0.1	0.0	0.1	0.2	0.4	3	7.5	15.2	2.4	18.3	46.5	0.0	0.6
1980	26.8	4.6	0.3	31.8	4.0	1.1	4.1	2.9	12.1	2.5	3.2	2.0	0.1	0.3	0.4	0.1	0.0	0.1	0.2	0.4	3	7.5	14.9	3	18.5	46.9	0.0	0.7
1981	26.1	4.8	0.4	31.2	3.8	1.1	4.3	3.0	12.2	2.5	3.5	2.0	0.1	0.4	0.5	0.1	0.0	0.1	0.2	0.4	2.8	7.4	15.1	2.8	18.8	47	0.0	0.7
1982	24.6	4.8	0.3	29.7	3.6	1.2	4.7	3.0	12.5	2.5	3.8	2.1	0.1	0.4	0.5	0.1	0.0	0.1	0.2	0.4	2.9	7.3	15.3	3.2	19.1	47.8	0.0	0.7
1983	24.8	4.7	0.3	29.8	3.5	1.2	4.7	3.0	12.4	2.4	3.8	2.0	0.1	0.4	0.5	0.1	0.0	0.1	0.2	0.4	3.2	6.7	14.7	3.3	20	48	0.0	0.7
1984	24.0	4.7	0.3	29.1	3.3	1.2	4.8	3.1	12.4	2.3	3.8	2.0	0.0	0.5	0.5	0.1	0.0	0.1	0.2	0.4	3.1	6.6	16.8	3	19.1	48.7	0.0	0.8
1985	23.3	4.8	0.3	28.4	3.1	1.2	4.9	3.1	12.3	2.2	3.8	2.1	0.0	0.4	0.5	0.1	0.0	0.1	0.2	0.4	3	6.7	17.6	2.8	19.3	49.5	0.0	0.8
1986	22.7	5.0	0.3	28.0	3.0	1.3	5.0	3.2	12.6	2.2	3.9	2.2	0.1	0.4	0.5	0.1	0.0	0.1	0.2	0.4	2.9	7.2	17.2	2.7	19.4	49.4	0.0	0.8
1987	22.1	5.4	0.3	27.8	2.9	1.4	5.3	3.3	12.9	2.3	3.9	2.3	0.1	0.5	0.6	0.1	0.0	0.1	0.2	0.4	3	6.7	16.8	2.1	20.4	49.1	0.0	0.8
1988	22.2	5.4	0.3	27.9	2.7	1.4	5.1	3.2	12.4	2.2	4.1	2.4	0.1	0.4	0.5	0.1	0.0	0.1	0.2	0.4	2.9	6.5	16.8	2	21	49.2	0.0	0.8
1989	22.1	5.7	0.3	28.2	2.6	1.5	5.2	3.3	12.6	2.2	4.2	2.5	0.1	0.5	0.5	0.1	0.0	0.1	0.2	0.4	2.8	6.6	17.3	1.7	20.1	48.5	0.0	0.9
1990	21.0	5.9	0.4	27.3	2.4	1.5	5.3	3.3	12.5	2.1	3.9	2.6	0.0	0.4	0.5	0.1	0.0	0.1	0.2	0.4	2.9	7	17.8	1.9	20.1	49.7	0.0	0.9
1991	18.2	6.2	0.3	24.7	2.3	1.5	5.4	3.3	12.6	2.1	4.0	2.7	0.0	0.4	0.5	0.1	0.0	0.1	0.2	0.4	2.9	6.9	18.1	2.5	21.6	52	0.0	0.9
1992	18.0	6.4	0.3	24.7	2.2	1.5	5.5	3.2	12.4	2.1	3.8	2.9	0.0	0.5	0.5	0.1	0.0	0.1	0.2	0.4	2.8	7	17.7	3.2	21.4	52.2	0.0	0.9
1993	17.2	6.4	0.3	23.9	2.0	1.4	5.5	3.2	12.1	2.1	3.8	2.9	0.0	0.5	0.5	0.1	0.0	0.1	0.2	0.4	2.9	7	19.5	3	20.9	53.4	0.0	0.9
1994	17.5	6.5	0.3	24.3	2.0	1.5	5.6	3.2	12.3	2.1	3.7	2.9	0.0	0.4	0.5	0.1	0.0	0.1	0.2	0.4	3	6.2	18.8	3.7	21.2	52.9	0.0	0.9
1995	17.8	6.6	0.3	24.8	2.0	1.4	5.7	3.2	12.3	2.1	3.5	3.0	0.0	0.4	0.5	0.1	0.0	0.1	0.2	0.4	2.9	5.9	18	3.9	21.9	52.6	0.0	0.8
1996	17.5	6.8	0.3	24.6	1.9	1.4	5.9	3.3	12.5	2.1	3.6	3.0	0.0	0.5	0.5	0.1	0.1	0.1	0.2	0.5	2.8	5.9	17.9	4.2	21.4	52.2	0.0	1
1997	17.3	7.0	0.3	24.6	1.9	1.4	5.9	3.4	12.6	2.2	3.7	3.0	0.1	0.5	0.5	0.1	0.1	0.1	0.2	0.5	2.7	5.5	16.7	3.8	23.3	51.9	0.0	0.9
