# Nutrient Content of the US Food Supply 1907-1997
#Table 10: Saturated fatty acids contributed from major food groups to the U.S. food supply, selected years
Year 	Meat	Poultry	Fish	Total meats	Whole milk	Lowfat milk	Cheese 	Other Dairy	Total Dairy	Eggs 	Legumes_nuts_soy	Grain products	Citrus	Non-citrus	Total Fruits	White_potatoes	Dark green deep yellow vegetables	Tomatoes	Other vegetables	Total vegetables	Butter	Margerine	Shortening	Lard and beef tallow 	Edible oils 	Total fats	Sugars and sweeteners	Miscellaneous
1909-19	30.3	1.0	0.3	31.5	12.5	0.3	2.0	7.1	22.0	2.5	0.9	1.6	0.0	0.2	0.2	0.1	0.0	0.0	0.1	0.2	21.0	1.4	5.9	11.1	1.4	40.7	0.0	0.3
1920-29	27.5	0.9	0.3	28.7	13.0	0.3	2.2	9.2	24.6	2.5	1.3	1.3	0.0	0.2	0.2	0.1	0.0	0.0	0.1	0.2	20.4	1.3	4.8	11.6	2.5	40.7	0.0	0.5
1930-39	25.2	0.9	0.2	26.4	13.0	0.3	2.4	9.7	25.3	2.3	1.5	1.1	0.0	0.2	0.2	0.0	0.0	0.0	0.1	0.2	20.3	1.1	5.9	10.9	4.2	42.3	0.0	0.6
1940-49	29.0	1.3	0.2	30.4	15.4	0.3	2.8	9.3	27.8	2.6	1.6	1.0	0.0	0.2	0.2	0.0	0.0	0.0	0.1	0.2	14.0	1.6	5.3	11.0	3.7	35.5	0.0	0.6
1950-59	30.1	1.5	0.2	31.8	14.7	0.3	3.6	7.6	26.1	2.9	1.9	0.8	0.0	0.2	0.2	0.0	0.0	0.0	0.1	0.2	10.2	3.0	6.8	9.5	6.0	35.5	0.0	0.6
1960-69	32.3	2.3	0.2	34.8	12.5	0.5	4.3	6.2	23.6	2.5	2.0	0.7	0.0	0.2	0.2	0.0	0.0	0.0	0.1	0.2	7.5	3.8	10.0	5.6	8.3	35.3	0.0	0.6
1970	34.4	3.2	0.2	37.8	11.0	1.1	5.0	5.5	22.6	2.5	1.9	0.7	0.0	0.2	0.2	0.1	0.0	0.0	0.1	0.2	6.4	4.2	11.9	4.2	6.8	33.4	0.0	0.7
1971	35.2	3.2	0.2	38.6	10.7	1.1	5.3	5.3	22.4	2.5	2.0	0.7	0.0	0.2	0.2	0.0	0.0	0.0	0.1	0.2	6.1	4.3	11.8	3.9	6.7	32.8	0.0	0.7
1972	34.1	3.3	0.2	37.7	10.4	1.2	5.7	5.3	22.7	2.5	2.1	0.7	0.0	0.2	0.2	0.1	0.0	0.0	0.1	0.2	5.9	4.4	12.3	3.5	7.2	33.2	0.0	0.8
1973	32.7	3.3	0.2	36.2	10.4	1.4	6.1	5.5	23.4	2.5	2.1	0.7	0.0	0.2	0.2	0.1	0.0	0.0	0.1	0.2	5.9	4.4	12.1	3.2	8.3	33.9	0.0	0.8
1974	34.2	3.3	0.2	37.7	9.6	1.4	6.5	5.4	22.8	2.4	1.9	1.1	0.0	0.2	0.2	0.1	0.0	0.0	0.1	0.2	5.5	4.6	12.0	3.0	7.9	33.1	0.0	0.7
