# Nutrient Content of the US Food Supply 1907-1997
#Table 12: Polyunsaturated fatty acids contributed from major food groups to the U.S. food supply																												
Year 	Meat	Poultry	Fish	Total meats	Whole milk	Lowfat milk	Cheese 	Other Dairy	Total Dairy	Eggs 	Legumes_nuts_soy	Grain products	Citrus	Non-citrus	Total Fruits	White_potatoes	Dark green deep yellow vegetables	Tomatoes	Other vegetables	Total vegetables	Butter	Margerine	Shortening	Lard and beef tallow 	Edible oils 	Total fats	Sugars and sweeteners	Miscellaneous
1909-19	25.3	2.9	1.8	29.9	2.8	0.1	0.4	1.6	4.8	4.2	6.8	15.8	0.0	1.2	1.2	0.5	0.3	0.5	1.1	2.4	4.8	3.1	6.2	12.2	8.5	34.7	0.0	0.3
1920-29	22.9	2.6	1.8	27.3	2.8	0.1	0.4	2.0	5.2	4.0	7.6	12.0	0.0	1.1	1.1	0.4	0.3	0.4	1.1	2.2	4.5	3.9	4.9	12.2	14.7	40.2	0.0	0.4
1930-39	20.4	2.6	1.8	24.8	2.7	0.1	0.4	2.1	5.2	3.7	8.0	10.1	0.1	1.0	1.0	0.3	0.3	0.4	1.1	2.2	4.4	4.8	5.8	11.3	18.4	44.7	0.0	0.4
1940-49	20.6	3.1	1.4	25.0	2.8	0.1	0.4	1.7	5.0	3.7	8.8	7.6	0.1	0.8	0.8	0.3	0.3	0.4	1.0	2.0	2.7	7.0	4.7	10.0	22.3	46.8	0.0	0.3
1950-59	18.5	3.3	1.2	23.1	2.4	0.1	0.5	1.3	4.2	3.7	7.4	5.5	0.1	0.6	0.7	0.2	0.2	0.3	0.8	1.5	1.8	13.2	5.4	7.8	25.4	53.6	0.0	0.3
1960-69	15.9	4.4	0.9	21.2	1.8	0.1	0.5	0.9	3.2	2.7	7.0	4.3	0.1	0.5	0.5	0.2	0.1	0.2	0.7	1.2	1.1	14.6	6.6	3.9	33.3	59.4	0.0	0.4
1970	13.3	5.0	0.8	19.1	1.3	0.1	0.5	0.7	2.5	2.2	6.1	3.4	0.1	0.4	0.5	0.2	0.1	0.2	0.6	1.1	0.8	13.7	7.6	2.4	40.0	64.4	0.0	0.6
1971	14.0	5.0	0.7	19.7	1.3	0.1	0.5	0.6	2.5	2.2	6.2	3.4	0.1	0.4	0.4	0.2	0.1	0.2	0.6	1.0	0.7	13.4	7.3	2.2	40.1	63.8	0.0	0.6
1972	12.6	5.0	0.8	18.3	1.2	0.1	0.5	0.6	2.4	2.1	6.3	3.2	0.1	0.4	0.4	0.2	0.1	0.2	0.6	1.0	0.7	13.6	7.6	1.9	41.6	65.4	0.0	0.7
1973	11.1	4.7	0.8	16.6	1.1	0.2	0.5	0.6	2.4	2.0	6.3	3.2	0.1	0.4	0.4	0.2	0.1	0.2	0.6	1.0	0.6	13.8	7.3	1.7	43.9	67.3	0.0	0.7
1974	11.9	4.7	0.7	17.3	1.0	0.2	0.6	0.6	2.3	2.0	6.1	4.0	0.1	0.4	0.4	0.2	0.1	0.2	0.6	1.0	0.6	13.4	7.1	1.6	43.4	66.1	0.0	0.7
1975	10.4	4.7	0.6	15.7	1.0	0.2	0.6	0.6	2.3	1.9	6.7	4.1	0.1	0.4	0.5	0.2	0.1	0.2	0.6	1.0	0.7	13.6	7.4	1.6	43.8	67.1	0.0	0.6
1976	10.0	4.7	0.6	15.3	0.9	0.2	0.6	0.6	2.2	1.8	5.9	3.8	0.1	0.4	0.4	0.2	0.1	0.2	0.5	1.0	0.6	13.8	9.9	1.4	43.3	68.9	0.0	0.7
1977	10.4	4.8	0.6	15.8	0.9	0.2	0.6	0.6	2.2	1.8	5.9	4.1	0.1	0.4	0.5	0.2	0.1	0.2	0.5	1.0	0.6	13.4	9.4	1.2	43.3	68.0	0.0	0.7
1978	9.9	4.9	0.6	15.4	0.8	0.2	0.6	0.6	2.2	1.8	5.8	4.0	0.1	0.4	0.5	0.2	0.1	0.2	0.5	0.9	0.6	13.1	9.3	1.1	44.7	68.8	0.0	0.7
1979	10.2	5.1	0.6	15.9	0.8	0.2	0.6	0.5	2.1	1.8	5.8	4.0	0.1	0.4	0.4	0.2	0.1	0.2	0.5	0.9	0.6	12.8	9.6	1.3	44.1	68.4	0.0	0.7
1980	10.5	5.1	0.6	16.2	0.7	0.2	0.6	0.5	2.1	1.7	5.2	4.0	0.1	0.4	0.4	0.2	0.1	0.2	0.5	0.9	0.6	12.9	9.4	1.4	44.6	68.8	0.0	0.7
1981	10.0	5.2	0.6	15.8	0.7	0.2	0.6	0.5	2.1	1.7	5.6	3.9	0.1	0.4	0.5	0.2	0.1	0.2	0.5	0.9	0.5	12.6	9.3	1.3	45.0	68.8	0.0	0.7
1982	9.1	5.2	0.5	14.9	0.7	0.2	0.7	0.5	2.1	1.7	6.0	3.9	0.1	0.5	0.5	0.2	0.1	0.2	0.5	0.9	0.5	12.6	9.5	1.4	45.3	69.3	0.0	0.7
1983	9.2	5.1	0.5	14.8	0.6	0.2	0.7	0.5	2.0	1.6	5.9	3.8	0.1	0.4	0.5	0.2	0.1	0.2	0.5	0.9	0.6	11.5	9.2	1.2	47.3	69.8	0.0	0.7
1984	9.1	5.2	0.5	14.8	0.6	0.2	0.7	0.6	2.1	1.6	6.0	3.9	0.0	0.5	0.5	0.2	0.1	0.2	0.5	0.9	0.6	11.6	10.3	1.2	45.9	69.5	0.0	0.7
1985	8.8	5.2	0.6	14.5	0.6	0.2	0.7	0.6	2.1	1.5	6.0	4.0	0.0	0.5	0.5	0.2	0.1	0.2	0.5	0.9	0.6	11.6	10.5	1.1	46.1	69.8	0.0	0.7
1986	8.6	5.6	0.6	14.7	0.5	0.2	0.7	0.6	2.1	1.6	6.2	4.3	0.1	0.5	0.5	0.2	0.1	0.2	0.5	0.9	0.6	12.8	10.5	1.1	44.0	68.9	0.0	0.7
1987	8.3	5.9	0.6	14.8	0.5	0.2	0.8	0.6	2.1	1.5	6.1	4.4	0.1	0.5	0.6	0.2	0.1	0.2	0.4	0.9	0.6	11.7	10.0	0.9	45.7	68.9	0.0	0.7
1988	8.3	5.8	0.5	14.7	0.5	0.2	0.7	0.6	2.0	1.5	6.3	4.6	0.1	0.5	0.5	0.2	0.1	0.2	0.4	0.9	0.5	11.1	9.6	0.9	46.7	68.8	0.0	0.7
1989	8.4	6.2	0.6	15.1	0.5	0.3	0.8	0.6	2.1	1.4	6.5	4.8	0.1	0.5	0.6	0.2	0.1	0.2	0.5	0.9	0.5	11.4	9.9	0.8	45.2	67.9	0.0	0.8
1990	7.9	6.5	0.6	15.0	0.4	0.3	0.8	0.6	2.0	1.4	6.0	5.0	0.0	0.5	0.5	0.2	0.1	0.2	0.5	0.9	0.5	12.2	10.4	0.9	44.3	68.3	0.0	0.8
1991	7.5	6.5	0.5	14.6	0.4	0.3	0.8	0.6	2.0	1.4	6.0	5.0	0.0	0.4	0.5	0.2	0.1	0.2	0.5	0.9	0.5	11.7	9.9	1.0	45.8	68.8	0.0	0.8
1992	7.7	6.8	0.5	15.0	0.4	0.3	0.8	0.6	2.0	1.4	5.8	5.2	0.0	0.5	0.5	0.2	0.1	0.2	0.5	0.9	0.5	12.1	9.8	1.1	44.9	68.4	0.0	0.8
1993	7.4	6.9	0.5	14.8	0.4	0.2	0.8	0.6	2.0	1.4	5.6	5.2	0.0	0.5	0.5	0.2	0.1	0.2	0.5	0.9	0.5	12.1	11.0	1.1	44.0	68.7	0.0	0.8
1994	7.5	7.1	0.5	15.1	0.4	0.3	0.8	0.6	2.0	1.4	5.6	5.3	0.0	0.5	0.5	0.2	0.1	0.2	0.5	0.9	0.6	10.7	10.6	1.4	45.1	68.4	0.0	0.8
