"","x"
"1","Aruba"
"2","Afghanistan"
"3","Angola"
"4","Angola:Cabinda"
"5","Anguilla"
"6","Albania"
"7","Finland:Aland Islands:Foglo"
"8","Finland:Aland Islands:Eckero"
"9","Finland:Aland Islands:Fasta Aland"
"10","Andorra"
"11","United Arab Emirates:Abu al Abyad"
"12","United Arab Emirates:Sir Baniyas"
"13","United Arab Emirates:Marawwah"
"14","United Arab Emirates:Al Aryan"
"15","United Arab Emirates"
"16","United Arab Emirates:6"
"17","Argentina:Isla de los Estados"
"18","Argentina:Tierra del Fuego"
"19","Argentina:Isla Trinidad"
"20","Argentina"
"21","Armenia:Artsvashen"
"22","Armenia"
"23","Armenia:Enclave border"
"24","American Samoa:Tutuila"
"25","Antarctica:1"
"26","Antarctica:2"
"27","Antarctica:3"
"28","Antarctica:4"
"29","Antarctica:Henry Ice Rise"
"30","Antarctica:6"
"31","Antarctica:7"
"32","Antarctica:8"
"33","Antarctica:9"
"34","Antarctica:10"
"35","Antarctica:Roosevelt Island"
"36","Antarctica:Korff Ice Rise"
"37","Antarctica:13"
"38","Antarctica:Berkner Island"
"39","Antarctica:15"
"40","Antarctica:16"
"41","Antarctica:Ross Island"
"42","Antarctica:18"
"43","Antarctica:19"
"44","Antarctica:20"
"45","Antarctica:21"
"46","Antarctica:22"
"47","Antarctica:23"
"48","Antarctica:24"
"49","Antarctica:25"
"50","Antarctica:26"
"51","Antarctica:Newman Island"
"52","Antarctica:28"
"53","Antarctica:29"
"54","Antarctica:Grant Island"
"55","Antarctica:Dean Island"
"56","Antarctica:Wright Island"
"57","Antarctica:33"
"58","Antarctica:Carney Island"
"59","Antarctica:Lydden Island"
"60","Antarctica:Coulman Island"
"61","Antarctica:Siple Island"
"62","Antarctica:38"
"63","Antarctica:Burke Island"
"64","Antarctica:Spaatz Island"
"65","Antarctica:41"
"66","Antarctica:Farwell Island"
"67","Antarctica:43"
"68","Antarctica:44"
"69","Antarctica:45"
"70","Antarctica:46"
"71","Antarctica:47"
"72","Antarctica:Thurston Island"
"73","Antarctica:49"
"74","Antarctica:Steele Island"
"75","Antarctica:51"
"76","Antarctica:Latady Island"
"77","Antarctica:53"
"78","Antarctica:54"
"79","Antarctica:55"
"80","Antarctica:56"
"81","Antarctica:57"
"82","Antarctica:Gillock Island"
"83","Antarctica:59"
"84","Antarctica:60"
"85","Antarctica:61"
"86","Antarctica:62"
"87","Antarctica:Charcot Island"
"88","Antarctica:64"
"89","Antarctica:Rothschild Island"
"90","Antarctica:Hearst Island"
"91","Antarctica:Alexander Island"
"92","Antarctica:68"
"93","Antarctica:69"
"94","Antarctica:Pourquoi Pas Island"
"95","Antarctica:Sturge Island"
"96","Antarctica:72"
"97","Antarctica:73"
"98","Antarctica:White Island"
"99","Antarctica:75"
"100","Antarctica:76"
"101","Antarctica:Adelaide Island"
"102","Antarctica:78"
"103","Antarctica:79"
"104","Antarctica:Young Island"
"105","Antarctica:81"
"106","Antarctica:Lavoisier Island"
"107","Antarctica:83"
"108","Antarctica:Drygalski Island"
"109","Antarctica:Renaud Island"
"110","Antarctica:Mill Island"
"111","Antarctica:Bowman Island"
"112","Antarctica:Wiencke Island"
"113","Antarctica:Snow Hill Island"
"114","Antarctica:Anvers Island"
"115","Antarctica:Brabant Island"
"116","Antarctica:92"
"117","Antarctica:James Ross Island"
"118","Antarctica:Vega"
"119","Antarctica:95"
"120","Antarctica:Dundee Island"
"121","Antarctica"
"122","Antarctica:Joinville Island"
"123","Antarctica:D'Urville Island"
"124","Antarctica:Snow Island"
"125","Antarctica:101"
"126","Antarctica:Livingston Island"
"127","Antarctica:Robert Island"
"128","Antarctica:Nelson Island"
"129","Antarctica:King George Island"
"130","Antarctica:Clarence Island"
"131","Antarctica:Elephant Island"
"132","Antarctica:Coronation Island"
"133","Australia:Ashmore and Cartier Islands"
