length	rep1	rep2	rep3	rep4	rep5	rep6	rep7	rep8	rep9	rep10
0	0	0	0	0	0	0	0	0	0	0
1	0	6	4	4	7	3	3	6	2	5
2	59	44	51	46	35	47	48	44	38	43
3	228	220	209	239	230	225	224	213	209	227
4	749	762	706	757	753	741	756	737	806	711
5	1876	1917	1918	1931	1850	1902	1852	1926	1784	1823
6	3718	3820	3715	3731	3817	3793	3774	3846	3813	3838
7	6396	6326	6300	6271	6197	6443	6303	6216	6308	6349
8	9082	8907	8990	8961	9105	8898	8979	8913	9110	9110
9	11073	11333	11324	11254	11299	11221	11390	11264	11288	11246
10	12572	12389	12645	12509	12345	12582	12425	12598	12440	12497
11	12639	12555	12384	12557	12708	12461	12662	12651	12457	12442
12	11288	11311	11503	11482	11500	11361	11387	11290	11413	11515
13	9437	9536	9415	9419	9363	9418	9445	9563	9450	9357
14	7330	7280	7366	7283	7253	7255	7238	7252	7438	7322
15	5170	5232	5220	5277	5182	5312	5222	5166	5105	5201
16	3445	3485	3442	3468	3511	3432	3419	3384	3497	3392
17	2245	2189	2185	2113	2184	2163	2104	2266	2153	2167
18	1310	1264	1224	1328	1242	1278	1277	1218	1259	1288
19	707	743	710	651	698	767	771	701	717	749
20	371	359	350	389	375	360	345	393	385	365
21	159	166	194	177	202	182	196	185	167	187
22	85	80	85	74	85	90	106	93	93	98
23	34	47	39	45	38	46	38	53	35	37
24	18	16	13	20	11	12	20	13	23	21
25	4	11	4	5	6	3	12	4	5	4
26	4	1	2	8	1	4	2	3	3	2
27	0	0	2	1	2	0	2	2	2	2
