length	rep1	rep2	rep3	rep4	rep5	rep6	rep7	rep8	rep9	rep10
0	0	0	0	0	0	0	0	0	0	0
1	9193	9046	8982	8853	9041	9157	8977	9055	9052	9056
2	8293	8262	8127	8153	8359	8273	8197	8236	8317	8287
3	7502	7616	7493	7553	7413	7516	7546	7617	7469	7502
4	6791	6790	6887	6833	6876	6614	6899	6931	6867	6678
5	6143	6285	6145	6298	6226	6248	6214	6237	6127	6182
6	5513	5643	5657	5640	5625	5661	5562	5643	5734	5697
7	5222	5197	5180	5061	5180	5111	5230	5159	5149	5160
8	4647	4758	4753	4701	4741	4647	4661	4573	4610	4742
9	4306	4137	4252	4266	4113	4264	4300	4214	4173	4280
10	3791	3880	3868	3919	3841	3937	3943	3899	3883	3938
11	3513	3481	3513	3579	3490	3455	3495	3489	3407	3610
12	3185	3132	3245	3250	3167	3195	3256	3140	3121	3104
13	2926	2913	2858	2876	2888	2881	2971	2911	3005	2848
14	2655	2615	2690	2606	2663	2651	2587	2538	2739	2553
15	2388	2407	2435	2425	2474	2426	2343	2340	2380	2351
16	2205	2196	2177	2187	2131	2130	2214	2217	2226	2187
17	1950	1866	2025	2026	1989	1935	1930	1903	1991	1989
18	1800	1788	1768	1814	1796	1755	1755	1802	1812	1776
19	1626	1658	1707	1657	1605	1658	1627	1635	1634	1616
20	1525	1517	1507	1498	1450	1540	1493	1413	1507	1524
21	1349	1329	1376	1368	1332	1336	1332	1403	1301	1391
22	1265	1239	1239	1187	1217	1321	1209	1251	1260	1232
23	1075	1115	1129	1188	1136	1115	1093	1119	1128	1111
24	1024	1008	1031	1032	1047	979	963	1062	992	1019
25	931	939	875	1012	917	946	935	911	921	951
26	805	844	839	819	826	866	880	847	823	847
27	753	766	718	795	790	800	841	736	745	787
28	689	671	652	666	748	712	657	710	686	693
29	629	632	630	625	633	657	661	662	651	643
30	592	543	604	513	598	570	584	564	585	577
31	553	510	479	507	534	528	489	547	495	527
32	441	490	450	491	473	440	487	497	487	432
33	428	405	451	400	400	362	426	452	434	433
34	419	374	398	382	384	382	378	355	350	408
35	347	332	359	363	336	387	316	377	394	352
36	330	318	321	303	314	325	321	324	338	306
37	292	305	280	302	305	298	292	283	303	298
38	249	262	262	259	280	283	244	272	235	263
39	228	227	253	229	247	238	234	244	244	239
40	247	214	202	229	236	230	204	204	195	219
41	194	205	201	178	209	201	205	218	205	199
42	182	190	182	157	188	198	177	179	200	188
43	141	184	171	142	163	173	164	170	157	157
44	154	157	157	150	151	150	171	158	146	152
45	140	135	109	168	110	139	140	159	154	139
46	117	124	108	130	120	111	115	113	117	118
47	112	118	107	111	114	95	112	113	120	110
48	89	106	94	100	92	106	114	124	103	98
49	111	96	96	89	96	81	96	78	103	85
50	82	78	88	85	82	88	95	85	91	95
51	72	71	73	75	73	76	81	73	67	77
52	63	74	73	60	64	61	73	57	70	96
53	60	66	70	62	64	66	70	67	64	65
54	63	74	57	53	57	53	51	55	71	57
55	48	45	50	54	45	58	50	51	56	48
56	55	45	44	46	50	49	45	48	49	35
57	39	54	42	36	45	38	53	47	36	51
58	41	40	54	43	40	40	33	54	35	42
59	51	39	29	37	48	37	37	46	36	26
60	25	33	47	29	44	21	26	31	38	32
61	27	32	32	25	31	26	23	21	37	25
62	21	16	27	26	37	31	34	21	21	25
63	24	18	30	26	18	20	27	15	27	20
64	14	27	21	24	31	27	30	27	16	27
65	26	19	18	19	22	23	16	19	19	20
66	17	30	22	15	15	16	19	16	24	23
67	17	12	14	18	15	13	20	20	19	17
68	20	20	16	14	8	19	16	19	15	16
69	10	16	16	13	16	20	9	12	15	12
70	11	18	7	14	11	14	12	11	10	10
71	9	14	13	18	16	9	16	14	10	8
72	18	8	15	11	11	12	8	7	3	12
73	10	8	7	14	7	14	5	11	10	10
74	7	8	4	10	6	11	4	6	8	12
75	10	13	7	8	11	11	11	9	7	10
76	10	6	10	3	9	7	8	7	4	9
77	6	12	9	6	8	7	9	9	7	2
78	7	7	7	6	9	8	6	10	2	7
79	9	8	7	8	4	6	6	3	7	9
80	9	4	1	8	4	3	5	1	3	3
81	1	4	10	7	6	2	9	3	7	1
82	6	6	3	2	2	4	5	8	2	4
83	4	5	6	4	0	3	4	3	2	5
84	3	5	3	5	1	2	6	2	3	3
85	6	5	4	1	2	1	3	2	3	0
86	5	2	4	1	2	4	3	2	0	2
87	3	2	2	1	3	1	4	1	2	3
88	4	4	2	3	3	3	3	3	4	4
89	1	3	1	2	1	0	2	3	3	3
90	1	1	2	1	2	2	1	1	1	1
91	2	2	0	1	2	1	3	0	3	0
92	3	1	0	2	1	2	1	2	1	1
93	1	1	0	1	3	2	0	1	1	4
94	3	0	1	3	1	2	2	0	1	1
95	1	1	0	1	0	0	2	1	1	2
96	0	2	0	1	0	1	0	2	0	1
97	2	1	0	1	0	0	0	0	0	0
98	0	3	2	2	1	0	2	0	1	1
99	3	1	0	1	0	2	0	3	1	1
100	0	1	1	0	1	0	0	0	1	2
101	0	0	0	0	0	0	1	1	1	1
102	0	0	0	0	0	0	1	1	0	3
103	0	1	0	0	0	0	1	0	1	0
104	0	1	0	0	1	0	1	1	0	1
105	2	1	0	1	0	0	2	0	1	0
106	1	3	0	1	0	0	0	0	1	0
107	1	1	0	0	1	0	1	0	0	0
108	0	0	0	0	0	0	2	1	0	0
109	1	0	0	0	0	0	0	0	0	0
110	0	0	3	0	1	0	0	0	0	0
111	1	1	0	0	0	0	0	0	2	0
112	0	0	0	0	1	0	0	0	0	0
113	0	0	0	0	0	1	0	0	0	0
114	0	0	0	0	0	0	1	0	0	0
115	0	0	0	0	0	0	0	0	0	0
116	0	0	0	1	0	0	0	0	1	0
117	1	0	0	0	0	0	0	0	0	0
118	0	0	0	0	0	0	0	0	1	0
119	0	0	1	0	0	0	0	0	0	0
120	1	0	0	0	0	0	0	0	0	0
121	0	0	1	0	0	0	0	0	0	0
122	0	0	1	0	0	0	0	1	0	1
123	0	0	0	1	0	0	0	0	0	0
124	0	0	0	0	0	0	0	0	0	0
125	0	0	0	0	0	0	0	0	0	0
126	0	0	1	0	0	0	0	0	0	0
127	0	0	0	0	0	0	0	0	0	0
128	1	0	0	0	0	0	0	0	2	0
129	0	0	0	0	0	0	0	0	0	0
130	0	0	0	0	0	0	1	0	0	0
131	0	0	0	0	0	0	0	0	1	0
132	0	0	0	0	0	0	0	0	0	0
133	0	0	0	0	0	0	0	0	0	0
134	0	0	0	0	0	0	0	0	0	0
135	0	0	0	0	0	0	0	0	0	0
136	0	0	0	0	0	0	0	0	0	0
137	0	1	0	0	0	0	0	0	0	0
138	0	0	0	0	0	0	0	0	0	0
139	0	0	0	0	0	0	0	0	0	0
140	0	0	0	0	0	0	0	1	0	0
141	0	0	0	0	0	0	0	0	0	0
142	0	0	0	0	0	0	1	0	0	0
143	0	0	0	0	0	0	0	1	0	0
144	0	0	0	0	0	0	0	0	0	0
145	0	0	0	0	0	0	0	0	0	0
146	0	0	0	0	0	0	0	0	0	0
147	0	0	0	0	0	0	0	0	0	0
