Year	Total GDP__current dollars	World Biocapacity__gha	Population__thousands	Pop-weighted GDP percapita__current USD percapita	Uncounted population - no attendant GDP data__thousands	Quadrant 1-HR Population__thousands	Quadrant 1-HR  population share__pct	Quadrant 2-LR Population__thousands	Quadrant 2-LR population share__pct	Quadrant 3-LD Population__thousands	Quadrant 3-LD population share__pct	Quadrant 4-HD Population__thousands	Quadrant 4-HD Population share__pct	Quadrant 1-HR Income__Billion current dollars	Quadrant 2-LR Income__Billion current dollars	Quadrant 3-LD Income__Billion current dollars	Quadrant 4-HD Income__Billion current dollars	Uncounted footprint  - no attendant GDP data__gha	Quadrant 1-HR Footprint__gha	Quadrant 2-LR Footprint__gha	Quadrant 3-LD Footprint__gha	Quadrant 4-HD Footprint__gha	Quadrant 1-HR Biocapacity__gha	Quadrant 2-LR Biocapacity__gha	Quadrant 3-LD Biocapacity__gha	Quadrant 4-HD Biocapacity__gha
# * IMF values begin in 1980
1980	10764098000000	10338984372	4421272	2434.62	541652	144466	3	655352	15	2265225	51	814577	18	1134.43	649.99	1035.47	7944.22	2149187026	739341971	1119172030	2662750062	5180738353	1702263871	3591593831	1572934687	1848598232
1981	11212622000000	10453134119	4513176	2484.42	549987	131037	3	687143	15	2270161	50	874848	19	1126.89	714.31	966.16	8405.26	2111413709	724217009	1136138761	2645401884	5097104474	1535138372	3798950847	1571481069	1950321626
1982	11007959000000	10552551872	4607866	2388.95	572666	123230	3	713659	15	2291406	50	906905	20	994.42	758.32	935.72	8319.49	2159222666	678998309	1170925006	2610136396	5112372114	1492564634	3836192371	1561645027	2025319010
1983	11307226000000	10522100785	4690327	2410.75	581445	122190	3	630056	13	2537660	54	818975	17	1000.17	576.65	1342.08	8388.33	2165946861	647792547	1024022806	3176966926	4716567546	1470646118	3702082040	1980685574	1723637683
1984	11707780000000	10678217751	4776414	2451.17	590435	113287	2	715285	15	2488098	52	869308	18	1002.32	644.29	1224.53	8836.64	2181120081	651640832	1133064122	3166386910	5069075437	1453030188	3801615795	1861127872	1945844456
1985	12259782000000	10719787308	4863468	2520.79	599448	115198	2	680122	14	2568515	53	900185	19	977.90	643.50	1231.49	9406.89	2228440125	651335294	1091219133	3214001147	5206353178	1449280726	3753038890	1896272851	1978048946
1986	14455194000000	10749595404	4953134	2918.39	601044	114679	2	644610	13	2794729	56	798072	16	1081.16	681.89	1570.86	11121.29	2254148384	673099210	1116334021	3623596828	4992293748	1448184180	3747720334	2143125851	1758394440
1987	16609115000000	10797504439	5044860	3292.28	610519	97994	2	669103	13	2820639	56	846605	17	1183.63	764.24	1635.21	13026.04	2313459968	608539775	1191600179	3684284979	5231132889	1354668395	3837676307	2142589151	1805781494
1988	18676162000000	10733993216	5137519	3635.25	620130	95101	2	684099	13	2871204	56	866986	17	1292.91	837.97	1764.70	14780.58	2280775262	583568656	1221619680	3757947755	5401650555	1304874601	3848339473	2138170975	1800311913
1989	19635581000000	10859697636	5229451	3754.81	629738	68368	1	723908	14	2938756	56	868682	17	1373.81	1064.59	1902.97	15294.21	2313471205	561791782	1345801346	3879985081	5514733673	1133498058	4062844138	2182339179	1818449687
1990	22105795000000	10993384603	5319472	4155.64	518288	101952	2	790887	15	3041531	57	866813	16	1660.44	1038.00	2073.90	17333.45	2145186960	629594898	1323084890	4030276500	5579139666	1365292172	3932320198	2299128431	1833626563
