country	country_code	Country_number	area	2020 qscore	Population__thousands	Total footprint__gha/person	Total Biocapacity__gha/person	Biocapacity Reserve__gha/person	Total Biocapacity Deficit__gha	GDP__billions current USD	GDP__current USD per capita	GDP above mean__current USD percapita
Afghanistan	AFG	2	Eastern Europe and Central Asia	3A	35530.1	0.66	0.37	-0.29	-10310552	21.00	592.62	-9788.28
Albania	ALB	3	Western Europe	3A	2930.19	2.05	0.99	-1.06	-3093201	13.00	4436.91	-5943.99
Algeria	DZA	4	Middle East and North Africa	2A	41318.1	2.3	0.5	-1.8	-74414280	175.00	4247.36	-6133.54
American Samoa	ASM	NA	Oceania	NA	NA	NA	NA	NA	NA	NA	NA	NA
Andorra	AND	NA	Western Europe	NA	NA	NA	NA	NA	NA	NA	NA	NA
Angola	AGO	7	Sub-Saharan Africa	3A	29784.2	0.92	1.87	0.95	28148640	124.00	4164.42	-6216.48
Anguilla	AIA	NA	Latin America and Caribbean	NA	NA	NA	NA	NA	NA	NA	NA	NA
Antigua and Barbuda	ATG	8	Latin America and Caribbean	2B	102.01	4.27	0.83	-3.43	-350367	2.00	15047.25	4666.35
Argentina	ARG	9	Latin America and Caribbean	3A	44271	3.3	6.58	3.28	145030068	620.00	14001.76	3620.86
Armenia	ARM	1	Eastern Europe and Central Asia	3A	2930.45	1.8	0.63	-1.16	-3409935	11.00	3766.32	-6614.59
Aruba	ABW	NA	Latin America and Caribbean	NA	NA	NA	NA	NA	NA	NA	NA	NA
Australia	AUS	10	Oceania	3A	24450.6	7.27	12.64	5.37	131185577	1390.00	56855.46	46474.55
Austria	AUT	11	Western Europe	3A	8735.45	6.02	2.73	-3.3	-28807696	409.00	46856.89	36475.98
Azerbaijan	AZE	52	Eastern Europe and Central Asia	3A	9827.59	1.97	0.74	-1.24	-12169398	39.00	3989.48	-6391.42
Bahamas	BHS	12	Latin America and Caribbean	3A	395.36	3.63	9.06	5.43	2147619	9.00	23085.23	12704.33
Bahrain	BHR	13	Middle East and North Africa	3A	1492.58	8.66	0.48	-8.17	-12196169	34.00	22694.26	12313.36
Bangladesh	BGD	16	South Asia	3A	164670	0.83	0.4	-0.43	-70649585	250.00	1518.33	-8862.58
Barbados	BRB	14	Latin America and Caribbean	3A	285.72	3.73	0.17	-3.56	-1017432	5.00	16873.22	6492.32
Belarus	BLR	57	Eastern Europe and Central Asia	3A	9468.34	4.2	3.09	-1.11	-10505299	53.00	5574.68	-4806.22
Belgium	BEL	255	Western Europe	3A	11429.3	6.6	0.82	-5.79	-66140798	492.00	43018.56	32637.65
Belize	BLZ	23	Latin America and Caribbean	1A	374.68	5.99	3.76	-2.23	-833930	2.00	4854.80	-5526.11
Benin	BEN	53	Sub-Saharan Africa	3A	11175.7	1.41	0.89	-0.52	-5820704	9.00	842.01	-9538.90
Bermuda	BMU	NA	Latin America and Caribbean	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bhutan	BTN	18	South Asia	3A	807.61	4.37	4.9	0.52	422077	2.00	2873.91	-7506.99
Bolivia	BOL	19	Latin America and Caribbean	3A	11051.6	3.08	15.49	12.4	137064180	38.00	3418.15	-6962.76
Bosnia and Herzegovina	BIH	80	Eastern Europe and Central Asia	3A	3507.02	3.49	1.77	-1.73	-6053812	17.00	4977.73	-5403.17
Botswana	BWA	20	Sub-Saharan Africa	3A	2291.66	2.74	3.02	0.28	637809	17.00	7298.20	-3082.70
Brazil	BRA	21	Latin America and Caribbean	3A	209288	2.81	8.61	5.8	1213562682	2081.00	9942.85	-438.05
British Indian Ocean Territories	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
British Virgin Islands	VGB	NA	Latin America and Caribbean	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brunei Darussalam	BRN	26	South-East Asia	3A	428.7	6	2.75	-3.25	-1391949	12.00	27905.49	17524.59
Bulgaria	BGR	27	Eastern Europe and Central Asia	2A	7084.57	3.64	3.3	-0.33	-2345646	56.00	7898.01	-2482.89
Burkina Faso	BFA	233	Sub-Saharan Africa	3A	19193.4	1.12	0.89	-0.23	-4401835	13.00	687.06	-9693.84
Burundi	BDI	29	Sub-Saharan Africa	3A	10864.2	0.63	0.36	-0.27	-2937979	3.00	312.31	-10068.59
Côte d'Ivoire	CIV	107	Sub-Saharan Africa	3A	24294.8	1.42	2	0.58	14123537	40.00	1642.57	-8738.33
Cabo Verde	CPV	35	Sub-Saharan Africa	2B	546.39	1.72	0.58	-1.14	-622999	2.00	3162.59	-7218.32
Cambodia	KHM	115	South-East Asia	2B	16005.4	1.33	1.07	-0.25	-4075612	22.00	1390.28	-8990.62
Cameroon	CMR	32	Sub-Saharan Africa	3A	24053.7	1.26	1.6	0.33	8005022	31.00	1274.32	-9106.59
Canada	CAN	33	North America	3A	36624.2	8.08	14.98	6.9	252838989	1640.00	44789.78	34408.88
Cayman Islands	CYM	NA	Latin America and Caribbean	NA	NA	NA	NA	NA	NA	NA	NA	NA
Central African Republic	CAF	37	Sub-Saharan Africa	3A	4659.08	1.17	7.52	6.35	29572173	2.00	427.55	-9953.35
Chad	TCD	39	Sub-Saharan Africa	3A	14900	1.67	1.78	0.1	1556987	10.00	653.69	-9727.21
Channel Islands	NA	NA	Western Europe	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chile	CHL	40	Latin America and Caribbean	3A	18054.7	4.28	3.41	-0.87	-15689571	263.00	14578.25	4197.35
China	CHN	351	East Asia	3A	1441130	3.71	0.92	-2.79	-4021441296	11938.00	8283.50	-2097.40
China Hong Kong SAR	HKG	NA	East Asia	NA	NA	NA	NA	NA	NA	NA	NA	NA
China Macao SAR	NA	NA	East Asia	NA	NA	NA	NA	NA	NA	NA	NA	NA
China mainland	NA	NA	East Asia	NA	NA	NA	NA	NA	NA	NA	NA	NA
Christmas Island	CXR	NA	Oceania	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cocos__Keeling Islands	CCK	NA	Oceania	NA	NA	NA	NA	NA	NA	NA	NA	NA
Colombia	COL	44	Latin America and Caribbean	3A	49065.6	1.91	3.6	1.69	82877360	307.00	6266.61	-4114.29
