age_months	DK_danish	SW_swedish	NL_dutch	EN_UK	EN_US	ES_MX	ES_ES	GL_galician	HE_hebrew	FR_french	HR_croatian	IT_italian	FI_finnish
16	19.4716	15.3511	20.0604	63.6331	40.6682	40.0782	101.9047	43.0241	NA	19.4716	NA	NA	21.8268
17	23.0866	22.4971	24.8524	70.1904	55.4713	44.2833	126.7158	81.3785	NA	21.9096	NA	NA	24.8524
18	37.2979	35.5302	40.2407	80.8706	70.2702	57.3169	126.7962	74.9819	72.6266	28.4657	73.8042	NA	36.119
19	46.7997	47.9774	70.3523	88.0179	123.3466	101.5594	166.3288	88.6055	132.1782	42.6775	NA	62.6971	72.7064
20	75.7338	73.3779	102.8185	114.0054	146.3919	95.1658	169.3556	112.8277	158.1681	52.7694	115.183	73.9673	110.4731
21	106.433	106.4312	136.463	142.9381	158.8378	119.3874	218.3068	129.9843	248.9262	82.8805	170.0247	118.798	148.2393
22	161.8617	148.3195	172.4621	171.2827	263.7269	180.7048	220.1547	271.3808	198.9569	150.6749	224.8646	180.7037	192.4817
23	194.3285	192.5621	214.3494	230.2461	309.1482	170.776	222.0027	302.0812	297.3719	130.7374	272.0518	237.9019	227.8902
24	243.8691	236.8034	258.0012	288.0313	306.8727	211.4844	190.2872	276.8432	362.2217	180.2768	315.7048	274.488	269.7799
25	309.8989	284.5793	301.6555	346.4059	373.4912	273.3925	322.8516	388.211	NA	296.9456	332.2738	310.4865	307.5442
26	367.6841	331.1777	350.0203	372.394	411.255	324.7019	400.0682	349.4297	NA	253.455	349.4309	335.8876	347.0756
27	409.5707	374.2407	399.5615	401.9155	431.9444	368.3538	400.7372	425.4674	NA	374.2407	420.7574	385.4282	379.5407
28	416.7168	417.895	453.2238	406.7076	433.7936	344.2923	400.8195	423.7814	NA	379.6216	492.6747	428.4931	412.5963
29	462.1363	NA	508.6543	412.6791	463.3163	389.1266	400.9016	456.8406	NA	430.9304	470.382	484.5124	450.9506
30	511.6787	NA	568.2041	427.4791	564.083	423.3568	400.982	515.211	NA	380.9605	449.8521	493.4249	488.125
