grade	number	Kanji	Strokes	Meaning	Onyomi	Kunyomi
1	1	一	1	one	ichi, itsu	hito-tsu
1	2	二	2	two	ni, ji	futa-tsu
1	3	三	3	three	san	mit-tsu
1	4	四	5	four	shi	yot-tsu, yon
1	5	五	4	five	go	itsu-tsu
1	6	六	4	six	roku	mut-tsu
1	7	七	2	seven	shichi	nana-tsu
1	8	八	2	eight	hachi	yat-tsu
1	9	九	2	nine	ku, kyū	kokono-tsu
1	10	十	2	ten	jū	tō
1	11	百	6	hundred	hyaku	momo
1	12	千	3	thousand	sen	chi
1	13	上	3	top, above	jō	ue
1	14	下	3	bottom, below	ka, ge	shita, shimo, moto
1	15	左	5	left	sa	hidari
1	16	右	5	right	u, yū	migi
1	17	中	4	inside, middle	chū, jū	naka
1	18	大	3	large	dai, tai	ō-kii
1	19	小	3	small	shō	chii-sai, ko, o
1	20	月	4	month; moon	gatsu, getsu	tsuki
1	21	日	4	day; sun	nichi, jitsu	hi, ka
1	22	年	6	year	nen	toshi
1	23	早	6	early	sō, sa	haya-i
1	24	木	4	tree	moku, boku	ki
1	25	林	8	woods	rin	hayashi
1	26	山	3	mountain	san, zan	yama
1	27	川	3	river	sen	kawa
1	28	土	3	soil	do, to	tsuchi
1	29	空	8	sky	kū	sora, a-ku, kara
1	30	田	5	rice field	den	da, ta
1	31	天	4	heaven, sky	ten	ame, ama
1	32	生	5	living, birth, raw	sei, shō	i-kiru, u-mu, nama
1	33	花	7	flower	ka	hana
1	34	草	9	grass	sō	kusa
1	35	虫	6	insect	chū	mushi
1	36	犬	4	dog	ken	inu
1	37	人	2	person	jin, nin	hito
1	38	名	6	name	mei, myō	na
1	39	女	3	female	jo, nyo	onna
1	40	男	7	male	dan, nan	otoko
1	41	子	3	child	shi, su	ko
1	42	目	5	eye	moku	me
1	43	耳	6	ear	ji, ni	mimi
1	44	口	3	mouth	kou	kuchi
1	45	手	4	hand	shu	te
1	46	足	7	foot	soku	ashi
1	47	見	7	see	ken, gen	mi-ru
1	48	音	9	sound	on	ne, oto
1	49	力	2	power	riki, ryoku	chikara
1	50	気	6	spirit; air	ki, ke	iki
1	51	円	4	yen; circle	en	maru
1	52	入	2	enter	nyū	hai-ru, i-ru
1	53	出	5	exit	shutsu	de-ru
1	54	立	5	stand up	ritsu	ta-tsu
1	55	休	6	rest	kyū	yasu-mu
1	56	先	6	previous	sen	saki
1	57	夕	3	evening	seki	yū
1	58	本	5	book	hon	moto
1	59	文	4	text	bun, mon	fumi
1	60	字	6	character	ji	aza
1	61	学	8	study	gaku	mana-bu
1	62	校	10	school	kō	kase
1	63	村	7	village	son	mura
1	64	町	7	town	chō	machi
1	65	森	12	forest	shin	mori
1	66	正	5	correct	sei, shō	tada-shii, masa
1	67	水	4	water	sui	mizu
1	68	火	4	fire	ka	hi
1	69	玉	5	ball	gyoku	tama
1	70	王	4	king	ou	kimi
1	71	石	5	stone	seki, koku	ishi
1	72	竹	6	bamboo	chiku	take
1	73	糸	6	thread	shi	ito
1	74	貝	7	shellfish	bai	kai
1	75	車	7	vehicle	sha	kuruma
1	76	金	8	gold, money	kin	kane, kana
1	77	雨	8	rain	u	ame, ama
1	78	赤	7	red	seki	aka
1	79	青	8	blue	sei, shō	ao
1	80	白	5	white	haku	shiro, shira
2	81	数	13	number, count	sū	kazu
2	82	多	6	many, much	ta	oo-i
2	83	少	4	a few, a little	shō	suku-nai, suko-shi
2	84	万	3	ten thousand	ban, man	yorozu
2	85	半	5	half	han	naka-ba
2	86	形	7	shape	kei, gyō	katachi
2	87	太	4	thick	ta	futo-i
2	88	細	11	thin	sai	hoso-i
2	89	広	5	wide	kō	hiro-i
2	90	長	8	long; leader	chō	naga-i
2	91	点	9	point	ten	bochi
2	92	丸	3	circle	gan	maru
2	93	交	6	intersect	kou	maji-waru
2	94	光	6	light	kou	hikari
2	95	角	7	corner; horn	kaku	kado, tsuno, sumi
2	96	計	9	measure	kei	haka-ru
2	97	直	8	straight; fix	choku, jiki	tada-chi, nao-su
2	98	線	15	line	sen	suji
2	99	矢	5	arrow	shi	ya
2	100	弱	10	weak	jaku	yowa-i
2	101	強	11	strong	kyō	tsuyo-i
2	102	高	10	high	kō	taka-i
2	103	同	6	same	dō	ona-ji
2	104	親	16	parent	shin	oya
2	105	母	5	mother	bo	haha, kaa
2	106	父	4	father	fu	chichi, tou
2	107	姉	8	older sister	shi	ane
2	108	兄	5	older brother	kei, kyō	ani
2	109	弟	7	younger brother	tei, dai	otōto
2	110	妹	8	younger sister	mai	imōto
2	111	自	6	oneself	ji, shi	mizuka-ra
2	112	友	4	friend	yū	tomo
2	113	体	7	body	tai	karada
2	114	毛	4	hair	mou	ke
2	115	頭	16	head	tou	atama
2	116	顔	18	face	gan	kao
2	117	首	9	neck	shu	kubi
2	118	心	4	heart	shin	kokoro
2	119	時	10	time	ji	toki
2	120	曜	18	weekday	yō	
2	121	朝	12	morning	chō	asa
2	122	昼	9	daytime	chū	hiru
2	123	夜	8	night	ya	yoru
2	124	分	4	minute; understand	fun, bun	wa-karu
2	125	週	11	week	shū	
2	126	春	9	spring	shun	haru
2	127	夏	10	summer	ka	natsu
2	128	秋	9	autumn	shū	aki
2	129	冬	5	winter	tō	fuyu
2	130	今	4	now	kon	ima
2	131	新	13	new	shin	atara-shii
2	132	古	5	old	ko	furu-i
2	133	間	12	interval	kan, ken	ma, aida
2	134	方	4	direction	hō	kata
2	135	北	5	north	hoku	kita
2	136	南	9	south	nan	minami
2	137	東	8	east	tou	higashi, azuma
2	138	西	6	west	sei, sai	nishi
2	139	遠	13	far	en	tō-i
2	140	近	7	near	kin	chika-i
2	141	前	9	before	zen	mae
2	142	後	9	after	go, kō	nochi, ushi-ro, ato
2	143	内	4	inside	nai	uchi
2	144	外	5	outside	gai, ge	soto, hoka, hazu-su
2	145	場	12	place	jou	ba
2	146	地	6	ground	chi, ji	
2	147	国	8	country	koku	kuni
2	148	園	13	garden	en	sono
2	149	谷	7	valley	koku	tani
2	150	野	11	field	ya	no
2	151	原	10	meadow	gen	hara
