# Table 1. Body mass and mass of both testes for 133 mammalian species
Species	Family	Group	Common_name	Body_mass_g	Testes_mass_g	Testes_body_percent	Sample size	Relative_testes_size_note2	Reference	Mating_system_note3	Mating_system_ref
Chinchilla lanigera	Chinchillidae	Rodentia	Long-tailed chinchilla	422.3	5.2	1.23	38¢	1.91	Roos and Shackleford, 1955		
Cavia porcellus	Caviidae	Rodentia	Guinea pig	813.3	4.1	0.5	3d	0.94	Deanesly and Rowlands, 1935-36		
Mesocricetus auratus	Cricetidae	Rodentia	Golden hamster	108	3.17	2.94	5e	3.11	Reiter, 1968  		
Phodopus sungorus	Cricetidae	Rodentia	Djungarian hamster	42.4	0.93	2.19	8d	1.79	Figala et al., 1973		
Peromyscus maniculatus	Cricetidae	Rodentia	Deer mouse	19.5	0.393	2.0	-	1.32	See Table 2	M	1
Onychomys torridus	Cricetidae	Rodentia	Southern grasshopper mouse	20.3	1.48	7.29	2d	4.84	Kenagy, unpublished  		
Sigmodon hispidus	Cricetidae	Rodentia	Hispid cotton rat	223	1.73	0.78	4c	1.01	Meyer and Meyer, 1944		
Oryzomys palustris	Cricetidae	Rodentia	Marsh rice rat	56	0.4	0.71	9c	0.63	Conaway, 1954  		
Pitymys subterraneus	Cricetidae	Rodentia	Woodland vole	17.1	0.237	1.39	17c	0.88	Huminski 1969		
Clethrionomys glareolus	Cricetidae	Rodentia	Bank vole	21.8	0.646	2.96	87c	2.01	Huminski 1969		
Microtus arvalis	Cricetidae	Rodentia	Common vole	28.5	0.424	1.49	395 c	1.09	Huminski 1969		
Microtus oeconomus	Cricetidae	Rodentia	Root vole	34.8	0.419	1.2	10c	0.93	Huminski 1969		
Microtus agrestis	Cricetidae	Rodentia	Field vole	46.4	0.804	1.73	49c	1.45	Huminski 1969		
Microtus californicus	Cricetidae	Rodentia	California vole	65.7	0.27	0.41	6d	0.38	Greenwald, 1957		
Arvicola terrestris	Cricetidae	Rodentia	European water vole	270.5	2.12	0.78	Td	1.07	Perry, 1942		
Ondatra zibethicus	Cricetidae	Rodentia	Muskrat	1295	5.06	0.89	lle	0.83	Beer and Meyer, 1951 	S (m)	1
Tatera brantsii	Cricetidae	Rodentia	Highveld gerbil	94	5.31	5.65	2c	5.76	Allanson, 1958		
Tatera afra	Cricetidae	Rodentia	Cape gerbil	92	7.74	8.41	9c	8.53	Allanson, 1958		
Tatera indica	Cricetidae	Rodentia	Indian gerbil	200.8	6.41	3.19	8d	4.03	Prasad, 1956		
Micromys minutus	Muridae	Rodentia	Harvest mouse	7.8	0.178	2.28	9c	1.16	Huminski 1969		
Mus musculus	Muridae	Rodentia	House mouse	15.3	0.119	0.78	86c¢	0.48	Huminski 1969	M	1
Apodemus microps	Muridae	Rodentia	Pygmy field mouse	19.2	0.326	1.7	8e	1.11	Huminski 1969		
Apodemus agrarius	Muridae	Rodentia	Striped field mouse	21.8	0.994	4.56	141¢e	3.09	Huminski 1969		
Apodemus sylvaticus	Muridae	Rodentia	Wood mouse	23.1	0.788	3.41	33¢	2.35	Huminski 1969		
Apodemus flavicollis	Muridae	Rodentia	Yellow-necked mouse	29.1	0.891	3.06	6le	2.25	Huminski 1969		
Rattus exulans	Muridae	Rodentia	Polynesian rat	60	2.6	4.33	~10c	3.9	Harrison, 1951		
