# Cole 2010 Biological functions of hCG and hCG-related molecules. Reprod Biol Endocrinol.
# https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2936313/
# Table 2 Concentration of total hCG and hyperglycosylated hCG (hCG-H) in 496 serum samples from 310 women with term pregnancies measured using the Siemens Immulite 1000 total hCG assay.
Gestation_weeks_from_menstrual_period	Gestation_weeks_from_menstrual_period_end	N	Median Total hCG ng/ml	Total_hCG_ng_ml_lower	Total_hCG_ng_ml_upper	Total_hCG_ng_ml_variation	Median HCG-H ng/ml	Range_hCG-H_ng_ml_lower	Range_hCG-H_ng_ml_upper	Range_hCG-H_ng_ml_variation	hCG-H_pct	notes
3	3.8	42	0.26	0.04	5.5	137	0.2	0.01	6.45	645	87	16 of 42 <0.1 ng/ml
4	4.8	42	3.4	0.21	173	824	2.5	0.18	160	888	51	
5	5.8	67	65	1.86	1308	704	8.6	0.96	698	731	43	
6	6.8	29	252	3.8	855	225	86	0.76	629	827	36	
7	7.8	30	3278	203	7766	38	359	27	931	34	16	
8	8.8	33	4331	1064	10057	9.4	386	67	1050	15.6	7	
9	9.8	24	5832	1031	11586	11.2	430	102	1158	11.3	5.1	
10	10.8	20	10352	1952	19958	10.2	521	188	1855	9.9	4.3	
11	13.8	41	5953	1440	15318	10.6	137	24	330	13.7	2.3	
14	17.8	57	2934	311	4757	15.2	26	6.7	129	19.3	1.3	
18	26.8	62	1931	210	6223	30.3	15.8	5.3	95	17.9	0.65	
27	40.8	49	1911	184	8530	46.4	2.95	0.3	12.2	40.6	0.14	
