# E.A.FRIEDMAN 1955 Primigravid labor; a graphicostatistical analysis
# https://pubmed.ncbi.nlm.nih.gov/13272981/
# Fig 2. Distribution curves
hrs	latent_phase	active_phase	first_stage	hrs_half	max_slope_phase	deceleration_phase	hrs_minutes	second_stage
1	21	29	5	0	4	52	0	20
2	30	85	5	0.5	19	312	0.2	45
3	42	116	14	1	48	48	0.4	71
4	41	99	30	1.5	79	23	0.6	102
5	43	62	22	2	74	21	0.8	50
6	50	32	30	2.5	65	9	1	58
7	42	18	36	3	55	8	1.2	35
8	39	18	37	3.5	24	3	1.4	25
9	25	15	32	4	36	5	1.6	22
10	29	4	35	4.5	16	1	1.8	9
11	20	5	37	5	27	1	2	15
12	19	3	23	5.5	7	0	2.2	16
13	18	4	40	6	13	2	2.4	4
14	12	1	17	6.5	4	0	2.6	8
15	11	3	20	7	11	0	2.8	5
16	10	2	9	7.5	1	0	3	5
17	5	2	7	8	10	2	3.2	1
18	5	1	16	8.5	0	1	3.4	2
19	4	0	13	9	2	1	3.6	6
20	8	2	1	9.5	0	0	3.8	1
21	2	0	10	10	1	0	4	7
22	3	2	9	10.5	0	0	4.2	2
23	2	0	4	11	1	0	4.4	0
24	3	0	2	11.5	0	0	4.6	0
25	1	0	5	12	0	0	4.8	0
26	0	0	3	12.5	0	0	5	0
27	2	0	5	13	0	0	5.2	0
28	1	0	4	13.5	0	0	5.4	0
29	0	0	3	14	0	1	5.6	0
30	2	0	2	14.5	0	0	5.8	0
31	0	0	0	NA	NA	NA	NA	NA
32	0	0	1	NA	NA	NA	NA	NA
33	0	0	0	NA	NA	NA	NA	NA
34	0	0	1	NA	NA	NA	NA	NA
35	0	0	0	NA	NA	NA	NA	NA
36	0	0	0	NA	NA	NA	NA	NA
37	0	0	2	NA	NA	NA	NA	NA
38	0	0	0	NA	NA	NA	NA	NA
