#digitized from Goodwin 1994 Increased concentration of the free beta-subunit of human chorionic gonadotropin in hyperemesis gravidarum
# https://pubmed.ncbi.nlm.nih.gov/7817726/
group	week	pct_free_bhCG
control	8.0025	0.8735
control	8.0025	0.7339
control	8.5394	0.6684
control	8.5205	0.6058
control	8.5332	1.6998
control	8.71	0.4463
control	9.0259	0.2925
control	9.2091	0.207
control	9.8218	1.2242
control	9.8092	0.5632
control	11.199	0.3554
control	11.5022	0.3327
control	11.7802	0.3299
control	11.7928	0.2187
control	12.5445	0.4696
control	12.5192	0.5038
control	13.4795	0.2988
control	12.7972	0.2161
control	12.8035	0.3528
control	13.031	0.5095
control	13.2142	0.4497
control	13.2268	0.3443
control	13.9154	0.561
control	14.4902	0.2904
hyperemesis	8.1984	1.1698
hyperemesis	8.2046	0.7995
hyperemesis	8.3247	0.7339
hyperemesis	8.5205	1.5032
hyperemesis	8.5332	1.073
hyperemesis	8.7037	1.7967
hyperemesis	8.6974	1.224
hyperemesis	8.71	1.0246
hyperemesis	8.71	0.9477
hyperemesis	8.7985	0.5545
hyperemesis	9.0259	0.8622
hyperemesis	9.0069	1.9249
hyperemesis	9.0133	1.8395
hyperemesis	9.0196	1.66
hyperemesis	9.0133	1.5802
hyperemesis	9.4997	1.2868
hyperemesis	10.024	0.794
hyperemesis	10.024	0.7313
hyperemesis	10.0366	0.3154
hyperemesis	11.0284	0.7172
hyperemesis	11.2053	1.6916
hyperemesis	11.4959	1.4096
hyperemesis	11.5148	0.7429
hyperemesis	11.976	2.5065
hyperemesis	12.0013	1.461
hyperemesis	11.9949	1.2758
hyperemesis	11.9949	1.1618
hyperemesis	12.5066	1.3328
hyperemesis	12.5192	0.6519
hyperemesis	12.5319	0.3585
hyperemesis	12.5192	0.2673
hyperemesis	13.0183	0.4611
hyperemesis	14.0038	0.7661
hyperemesis	14.1807	0.6465
hyperemesis	14.4965	1.222
hyperemesis	15.9052	0.4929
