# Korevaar 2015 Reference ranges and determinants of total hCG levels during pregnancy: the Generation R Study
# https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4584104/
# Table 1 Gestational age specific, total population reference ranges for hCG in 8065 women
Gestational week	N	Minimum	2.5th	Median	97.5th	Maximum
8	32	455	2305	59973	94251	142584
9	50	22655	24310	75494	125882	129909
10	106	16080	24370	74655	137697	163393
11	255	10340	23669	62493	129242	187852
12	790	8105	22846	56004	114774	164125
13	1418	4618	23272	52367	109990	166478
14	1069	5925	20494	47267	105369	144054
15	800	4834	14262	37303	82506	122037
16	594	7512	11159	29614	80656	132084
17	455	5637	8294	24426	69447	151558
18	354	3822	6637	20693	50109	75993
19	271	3895	5022	17609	52640	90628
20	389	3128	5342	17354	43692	78841
21	530	1542	4213	15088	42892	73485
22	330	2559	3689	16174	44548	86541
23	165	1957	2390	12415	43379	65192
24	134	2511	4067	13739	45031	49392
25	79	3354	3847	14749	53383	63166
26	244	518	2228	13852	58125	74719
