# Soules 1980 Nausea and vomiting of pregnancy: Role of human chorionic gonadotropin an 17-hydroxyprogesterone.
# https://www.researchgate.net/publication/15816556_Nausea_and_vomiting_of_pregnancy_Role_of_human_chorionic_gonadotropin_an_17-hydroxyprogesterone
# Figure 1 Mean serum hCG levels
condition	week	hCG_serum_IU_mL
normal	3.3434	0.3617
normal	3.9082	0.8041
normal	4.4879	2.6617
normal	5.0673	5.9346
normal	5.5404	7.1226
normal	6.0859	24.8463
normal	6.5896	25.2147
normal	7.0459	33.0324
normal	7.518	38.1683
normal	7.9719	56.1907
normal	8.5526	53.728
normal	9.1171	55.2877
normal	9.592	48.1331
normal	10.0201	45.746
normal	10.6463	44.3258
normal	11.1333	51.1003
normal	11.6879	29.7178
normal	12.1298	32.9918
normal	12.6498	29.1887
normal	13.5814	27.9895
normal	14.1263	48.3948
normal	16.1776	24.6168
normal	16.4844	18.0594
grade-1	5.083	4.2212
grade-1	6.0704	25.8148
grade-1	6.4802	36.3143
grade-1	6.9567	22.4558
grade-1	7.5062	22.9727
grade-1	6.9636	58.8058
grade-1	7.9552	62.1499
grade-1	7.9681	72.5781
grade-1	8.9918	69.2179
grade-1	9.9742	45.8954
grade-1	10.0188	51.3327
grade-1	10.0206	43.4369
grade-1	10.0694	30.4756
grade-1	11.077	30.2441
grade-1	11.6128	23.9083
grade-1	12.1308	28.9694
grade-1	12.6953	30.6781
grade-2	4.9552	29.0267
grade-2	6.0548	27.3047
grade-2	8.5006	80.842
grade-2	9.5184	36.5135
grade-2	9.9807	84.4056
grade-2	10.0029	53.9399
grade-2	10.6616	44.1767
grade-2	10.0593	7.7569
grade-2	12.1198	10.422
grade-2	14.1162	25.7506
grade-2	14.1045	76.8494
grade-3	7.5305	50.0117
grade-3	9.0615	31.3775
grade-3	11.1369	35.6813
grade-3	12.6077	13.0252
grade-4	7.5644	35.2629
grade-4	7.9496	86.7309
grade-4	9.0118	48.6591
grade-4	9.049	85.8283
grade-4	16.1482	19.105
