weeks	vomiting_percent	nausea_percent
	1.6261	3.2524
1	2.6551	6.0781
2	4.283	10.7867
3	6.1679	18.576
4	8.9083	29.3608
5	14.2161	37.3213
6	22.6047	51.6143
7	30.9931	64.3671
8	37.071	69.5893
9	38.6991	68.9925
10	38.7012	65.9994
11	38.1044	62.3219
12	36.5661	57.4464
13	33.402	52.2284
14	29.4676	45.6413
15	25.5333	40.9367
16	22.1125	36.917
17	18.8629	34.1808
18	16.3834	31.9579
19	14.8451	29.9919
20	13.5636	28.7959
21	12.8812	27.6857
22	12.4555	26.9175
23	12.1153	26.2352
24	11.7752	25.6381
25	11.435	25.127
26	11.0093	24.53
27	10.4979	23.8477
28	9.73	22.994
29	9.0475	21.9693
30	8.3651	21.1156
31	7.9393	20.1764
32	7.4279	19.5795
33	7.0022	18.726
34	6.5764	17.7867
35	5.9796	16.5053
36	5.2115	14.967
37	4.1013	11.9742
38	2.9053	8.0398
39	1.9656	3.1642
40	0	1.0254
