Country	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
Albania	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	6	5	8	7	12	10.5	11	10	11.5	11
Algeria	6	37	27	21	16.5	51.5	50.5	15	54.5	33.5	26.5	25.5	15	69.5	33.5	32	21.5	24	61.5	26.5	67	39.5	66	44	69.5	82	63	80
Argentina	8	9	10	8	6.5	11	11.5	8	6.5	11	4	10	11	13.5	18	23	15	27	23	17	20	32	17	30	30	24	24	43.5
Egypt	0.5	1	1	1	1	2.5	0.5	1	0.5	2.5	0.5	1.5	5	2	2.5	2.5	10.5	7.5	5	3	4	9	16.5	20	17	16.5	30	28
Iran	0.5	0.5	2	3	1.5	3	1.5	3	2.5	2.5	3	2.5	1.5	2.5	4	4.5	4	4.5	4.5	4	4	7	3.5	5	4.5	5	3.5	9
Iraq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Israel	8	2.5	7.5	1.5	5.5	5	5.5	3	4.5	2.5	7	3.5	9	3	9	3	8.5	4	9	3.5	12.5	13	18	15	18.5	18	15	16
Jordan	8	5	14	12.5	13.5	14	23	14	21.5	6.5	27	14	28	25	29	22	37	21.5	18.5	17	27	19.5	21.5	19	23	29.5	20	25
Lebanon	6	5	8	2	5	5	6.5	3.5	7	5	6	5	6	7.5	6	5.5	6	10.5	12	9	32	14	14	16.5	21	23	25	25
Libya	7	10	6	8	6.5	4	10	6	8	7	4	7	6.5	12.5	12.5	9	11	13	15	15	15	15	15	18	15.5	18	16	18
Morocco	36	50	38	40	45	35	110	70	65	40	35	60	45	100	50	75	75	85	85	140	130	120	100	130	120	130	110	140
Montenegro	3.5	2	1.5	2	2.5	1.5	0.5	0.5	1	1	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
Palestine	0	0	31	1	8	12	12	9	5.5	2	20	18	21.5	5	20	10	31.5	8	20	5.5	25	15.5	15.5	17.5	24.5	21	19.5	19
Tunisia	175	250	120	235	100	60	270	93	215	210	130	35	72	280	130	220	160	170	160	150	120	182	220	70	340	140	100	280
Turkey	80	60	56	48	160	40	200	40	170	70	175	65	140	79	145	112	165	72	130	147	160	191	195	135	160	150	208	263
