Country 	AC 	FC 	WFC					Country name 	2010	2011	2012	2013
Algeria 	23	5.92	4.77		Abkhazia[23] 	240705		Afghanistan 	15936784437	17870159082	20506795254	20309671015
Argentina 	314	148.89	103.78		Afghanistan 	26556800		Albania 	11926957255	12890866743	12344529628	12923240278
Armenia 	37	12.12	9.49		Åland Islands (Finland) 	28875		Algeria 	161207304960	199070864638	204331017992	210183410526
Australia 	2540	1199.17	1004.73		Albania 	2895947		Angola 	82470894868	104115867663	115341559475	124178241816
Austria 	863	356.45	324.51		Algeria 	39500000		Antigua and Barbuda 	1135539037	1129918370	1204713111	1200587519
Azerbaijan 	7	1.91	1.11		American Samoa (USA) 	55519		Argentina 	462703793707	557727273773	603153016503	609888971036
Bangladesh 	11	1.74	1.74		Andorra 	76098		Armenia 	9260287416	10142342770	9958217880	10432169571
Barbados 	1	0.17	0.03		Angola 	24383301		Australia 	1141267760188	1388066356092	1534425905763	1560372473125
Belarus 	26	7.72	7.72		Anguilla (UK) 	13452		Austria 	389656071767	429099514393	407575161127	428321897648
Belgium 	1051	419.29	345.06		Antigua and Barbuda 	86295		Azerbaijan 	52902703376	65951627200	68730906314	73560484385
Benin 	2	0.35	0.35		Argentina 	43131966		Bahamas, The 	7910000000	7931000000	8219000000	8420000000
Bermuda 	2	0.37	0.37		Armenia 	3013900		Bahrain 	25713544825	29044378132	30756789966	32890110533
Bhutan 	3	0.56	0.56		Aruba 	101484		Bangladesh 	115279077465	128637938711	133355744563	149990454541
Bolivia 	10	1.1	1.1		Australia 	23700000		Belarus 	55220932614	59734593905	63615445567	71709513654
Bosnia and Herzegovina 	1	0.25	0.25		Austria 	8527230		Belgium 	484404271608	528237749142	498853259612	524805525215
Botswana 	3	0.34	0.34		Azerbaijan 	9552500		Belize 	1397113450	1487005600	1573867300	1624294250
Brazil 	701	316.82	239.07		Bahrain 	1316500		Benin 	6561782313	7289779658	7543183759	8307222087
Brunei 	2	0.15	0.15		Bangladesh 	157604000		Bhutan 	1585396256	1820207626	1823692110	1781261413
Bulgaria 	60	13.8	7.4		Barbados 	285000		Bolivia 	19649631308	23948541156	27035110130	30601157742
Burkina Faso 	3	0.6	0.6		Belarus 	9475100		Bosnia and Herzegovina 	16847493059	18318439121	16906005781	17851326454
Cambodia 	5	1.26	1.26		Belgium 	11233192		Botswana 	13746712711	15365212953	14537486274	14784707345
Cameroon 	8	0.85	0.85		Belize 	349728		Brazil 	2143067871760	2476694763271	2248780912396	2245673032354
Canada 	3346	1773.44	1600.43		Benin 	10315244		Brunei Darussalam 	12369708859	16691360399	16953952625	16111135789
Cape Verde 	1	0.33	0.33		Bermuda (UK) 	64237		Bulgaria 	48669060512	55765057234	52588115104	54479873100
Chile 	842	190.54	94.86		Bhutan 	755780		Burkina Faso 	9209288383	10395757480	10726305450	11582556068
China 	8521	6220.84	5908.01		Bolivia 	11410651		Burundi 	2026864414	2355652064	2472384864	2714507031
Colombia 	52	11.35	9.56		Bosnia and Herzegovina 	3791622		Cabo Verde 	1664310633	1864823991	1757304419	1879402554
Congo 	6	0.6	0.6		Botswana 	2024904		Cambodia 	11242266334	12829541141	14054443213	15238689686
Costa Rica 	21	3.64	2.89		Brazil 	203687000		Cameroon 	23622482955	26587310734	26472054176	29567504655
Croatia 	114	30.53	24.59		British Virgin Islands (UK) 	28054		Canada 	1614072093764	1778632046933	1821445449562	1826768562832
Cuba 	15	3.07	3.04		Brunei 	393372		Central African Republic 	1986014759	2195599491	2169706411	1538175744
Cyprus 	33	11.41	11.02		Bulgaria 	7245677		Chad 	10657705072	12156380062	12887072082	13513552425
Czech Republic 	377	161.25	121.44		Burkina Faso 	17322796		Chile 	217501911334	251162316598	266259263033	277198774857
Denmark 	1034	361.48	323.32		Burma 	51419420		China 	5930502270313	7321891954608	8229490030100	9240270452047
Dominican Republic 	1	0.13	0.13		Burundi 	9823827		Colombia 	287018184638	335415156702	370328075210	378415326790
Ecuador 	24	3.06	3.06		Cambodia 	15405157		Comoros 	516962949	566024676	550476499	598925863
Egypt 	95	15.45	14.08		Cameroon 	20386799		Congo, Dem. Rep. 	21561941369	25835398967	29306222816	32690896873
Estonia 	89	24.85	19.39		Canada 	35675834		Congo, Rep. 	12007880067	14425606793	13677929162	14085852120
Ethiopia 	6	0.81	0.81		Cape Verde 	518467		Costa Rica 	36298327670	41237296807	45374788701	49621089476
Fiji 	2	0.29	0.29		Caribbean Netherlands (Netherlands) 	23296		Cote d'Ivoire 	24884503951	25381617036	27098590232	31062026533
Finland 	586	229.31	200.17		Cayman Islands (UK) 	55456		Croatia 	59643818182	62241414803	56479515972	57868674298
France 	5352	2642.47	2268.76		Central African Republic 	4803000		Cyprus 	23132450331	24851264943	22766912960	21911444503
Gabon 	6	0.61	0.61		Chad 	13606000		Czech Republic 	207016402026	227307241313	206751372749	208796024646
Gambia 	4	0.31	0.31		Chile 	18006407		Denmark 	319812413597	341497953097	322276544469	335877548364
Georgia 	33	6.67	3.6		China[8] 	1367490000		Djibouti 	1128611700	1239144502	1353632942	1456344495
Germany 	8800	4716.55	4112.56		Christmas Island (Australia) 	2072		Dominica 	492962963	508518519	514814815	516666667
Ghana 	5	0.43	0.43		Cocos (Keeling) Islands (Australia) 	550		Dominican Republic 	53042943731	58145330250	60331668443	61163676805
Greece 	327	123.79	99.42		Collectivity of Saint Martin (France) 	35742		Ecuador 	69555367000	79276664000	87623411000	94472679000
Greenland 	5	0.66	0.66		Colombia 	47938300		Egypt, Arab Rep. 	218887812550	236000735704	262831912587	271972822883
Guatemala 	2	0.06	0.06		Comoros 	763952		El Salvador 	21418300000	23139000000	23813600000	24259100000
Hungary 	287	98.88	82.36		Cook Islands 	14974		Equatorial Guinea 	11582917790	15725711943	16496531233	15580563836
Iceland 	77	16.44	15.33		Costa Rica 	4773130		Eritrea 	2117039511	2607739837	3091967480	3444097561
India 	1538	1063.28	951.8		Croatia 	4267558		Estonia 	19479012423	22803433933	22660754204	24880264958
Indonesia 	31	7.2	6.2		Cuba 	11210064		Ethiopia 	29933790334	31952763089	43310721414	47525186490
Iran 	144	79.69	68.73		Curaçao 	150563		Fiji 	3140508836	3646423266	3849824013	3855017107
Iraq 	14	1.37	1.05		Cyprus	858000		Finland 	247799815768	273674236773	255776225885	267328613728
Ireland 	358	137.6	125.31		Czech Republic 	10521600		France 	2646837111795	2862680142625	2686722589270	2806427978234
Israel 	1025	546.69	492.93		Democratic Republic of the Congo 	71246000		Gabon 	14569527125	18796191833	17843815459	19343506599
Italy 	3084	1415.47	1054.52		Denmark 	5655750		Gambia, The 	951827285	904256028	912427787	903497026
Ivory Coast 	1	0.13	0.13		Djibouti 	900000		Georgia 	11638536834	14434619982	15846474596	16140047012
Jamaica 	2	0.26	0.26		Dominica 	71293		Germany 	3412008772737	3752109943534	3533242461467	3730260571357
