Rank	Country	Quality of Life Index	Purchasing Power Index	Safety Index	Health Care Index	Cost of Living Index	Property Price to Income Ratio	Traffic Commute Time Index	Pollution Index	Climate Index
1	Switzerland	190.82	110.96	78.65	74.47	131.75	8.42	28.73	20.09	80.05
2	Denmark	190.01	94.73	73.28	79.96	91.67	6.66	28.69	20.40	81.80
3	Netherlands	183.31	83.89	72.78	75.76	78.64	7.35	27.81	25.28	87.11
4	Finland	182.79	89.05	72.99	76.40	77.46	8.64	28.96	11.86	56.64
5	Austria	182.37	78.23	74.77	78.40	75.49	10.40	25.68	19.20	77.79
6	Australia	181.52	99.29	57.56	77.71	84.14	7.38	35.04	23.48	92.70
7	Iceland	179.10	71.88	75.87	65.69	96.77	6.31	19.98	16.24	68.81
8	Germany	176.76	93.72	64.58	73.77	70.62	9.12	31.36	27.48	82.97
9	New Zealand	175.77	81.44	57.74	73.58	79.14	8.09	30.70	23.81	96.35
10	Norway	173.57	79.43	66.65	75.50	106.09	8.49	26.87	18.14	68.68
11	Estonia	173.56	61.22	76.62	72.83	56.45	9.11	24.72	19.01	64.28
12	Oman	172.08	84.45	79.74	58.42	50.18	5.75	23.02	37.59	67.22
13	Sweden	171.40	90.55	52.80	68.80	79.17	8.56	29.89	18.44	74.92
14	Slovenia	168.20	56.14	78.21	65.28	59.38	10.89	26.79	22.65	77.56
15	United States	166.98	102.58	52.26	69.03	71.92	3.99	32.89	38.89	77.28
16	Spain	164.48	62.68	66.87	78.80	59.09	9.59	29.38	39.62	93.18
17	Japan	162.32	76.53	78.05	80.68	87.77	13.04	39.85	39.40	85.27
18	Portugal	161.91	44.96	70.11	71.93	52.88	12.65	29.64	29.57	97.72
19	Lithuania	160.02	54.60	66.16	70.97	47.66	10.97	25.67	27.01	69.86
20	Canada	159.99	82.76	58.81	71.80	70.08	7.53	33.72	28.13	56.75
21	United Kingdom	158.99	82.56	54.74	74.93	71.03	9.57	34.44	40.25	88.04
22	Czech Republic	156.33	56.40	74.69	75.37	49.18	15.46	29.72	36.30	77.13
23	Croatia	156.10	43.13	75.09	64.23	56.36	14.20	28.13	30.58	89.69
24	United Arab Emirates	156.03	85.74	84.65	68.02	61.67	4.93	36.31	50.44	45.23
25	Qatar	154.58	93.12	87.71	73.00	64.23	5.97	30.45	60.18	36.03
26	Belgium	150.89	76.54	55.83	75.20	78.52	6.91	36.24	50.27	86.03
27	Ireland	150.89	73.84	54.98	52.78	83.11	7.40	37.70	33.59	89.13
28	France	150.73	74.06	50.80	80.99	80.62	13.48	34.53	41.79	89.94
29	Slovakia	149.68	50.39	70.26	60.89	49.08	11.14	27.81	39.08	78.13
30	Latvia	147.59	45.94	62.79	62.18	52.87	8.48	31.16	33.91	74.70
31	Saudi Arabia	147.37	88.18	74.07	60.71	49.95	2.57	28.45	64.13	45.98
32	Israel	144.14	70.36	68.79	73.76	86.63	13.68	35.76	58.42	93.78
33	Cyprus	144.06	52.34	68.03	52.71	64.05	7.12	23.44	56.77	93.34
34	Singapore	143.82	83.62	67.02	70.88	85.59	19.38	41.19	33.16	57.45
35	Taiwan	138.82	56.08	84.76	86.39	65.25	23.63	31.28	62.92	81.60
36	Italy	138.63	58.70	55.63	66.77	73.11	9.52	34.17	53.93	91.48
37	Hungary	134.01	49.81	65.19	51.64	42.75	11.60	35.81	47.81	79.48
38	Poland	132.65	47.09	70.68	58.25	42.04	14.03	31.34	54.33	75.90
39	South Africa	132.19	72.92	22.93	63.89	41.69	3.96	39.30	56.96	95.25
40	Romania	131.71	45.19	71.65	56.09	38.50	10.66	34.13	58.42	77.69
41	Puerto Rico	130.77	69.22	36.65	55.57	69.51	3.56	34.16	50.45	71.25
42	South Korea	130.02	76.60	73.14	82.34	81.20	23.63	39.88	61.85	68.39
43	Greece	129.86	38.95	55.86	56.96	60.96	10.13	33.94	51.95	94.18
44	Bulgaria	126.34	40.26	61.88	56.13	40.92	8.97	29.39	64.48	82.76
45	Turkey	125.97	35.35	60.47	70.71	31.48	8.21	44.64	66.15	93.26
46	Bosnia and Herzegovina	125.71	42.56	56.99	53.48	38.56	10.75	25.89	60.71	80.48
47	Uruguay	124.63	30.62	48.78	67.66	51.09	17.33	37.74	45.67	98.04
48	Costa Rica	121.65	39.01	44.66	62.92	50.64	10.07	60.19	44.07	99.48
49	Mexico	120.29	35.54	45.00	72.51	35.05	10.46	39.02	61.24	86.63
50	Georgia	118.87	25.67	77.38	53.83	28.05	14.16	35.40	69.70	88.53
51	Ecuador	118.76	30.54	45.59	68.81	40.08	12.59	39.57	58.34	94.51
52	Malaysia	116.94	56.10	42.11	69.59	39.51	9.92	37.00	62.58	59.11
53	Serbia	116.24	35.83	61.74	51.62	39.19	17.08	31.10	61.20	83.23
54	Jordan	114.04	33.13	59.27	65.38	52.17	8.03	41.41	76.09	89.05
55	Kuwait	113.98	75.32	65.96	58.97	49.40	13.18	33.72	66.72	20.22
56	Argentina	110.50	34.56	36.69	68.58	37.87	22.68	43.16	50.73	98.28
57	Panama	110.32	32.05	54.15	60.43	54.07	12.33	37.55	59.77	67.84
58	North Macedonia	108.47	31.97	61.41	56.49	34.15	12.67	27.22	80.03	76.30
59	Ukraine	107.35	30.10	51.72	53.43	29.21	10.77	37.90	64.31	70.77
60	Belarus	107.35	31.96	39.73	44.44	30.69	16.79	30.05	44.47	64.37
61	Pakistan	105.14	27.28	56.14	60.52	21.59	12.62	37.80	73.36	73.63
62	Brazil	104.75	28.66	32.15	57.33	31.82	16.13	41.71	54.53	92.39
63	India	104.52	47.13	55.28	66.25	25.16	11.31	46.66	79.62	65.30
64	Morocco	104.42	32.17	50.90	45.81	36.85	13.49	36.30	70.38	90.04
65	China	103.15	57.47	69.83	66.38	42.54	29.02	40.89	81.47	80.15
66	Azerbaijan	102.88	25.77	68.34	44.02	30.90	16.58	39.41	75.44	91.40
67	Russia	101.67	34.61	59.87	58.44	33.17	11.14	44.60	62.32	38.46
68	Colombia	101.33	26.13	44.23	66.72	31.00	18.67	47.34	62.88	88.30
69	Thailand	100.29	31.36	60.62	78.08	49.32	22.16	39.19	75.39	69.45
70	Chile	99.90	33.33	47.92	63.72	49.33	17.60	35.56	78.96	90.21
71	Hong Kong	99.34	62.45	78.27	66.34	79.94	45.19	42.28	67.30	83.64
72	Kazakhstan	96.42	34.92	45.98	60.09	29.76	9.63	33.64	72.62	39.78
73	Lebanon	94.47	29.49	53.04	63.29	75.88	14.07	39.06	89.35	94.74
74	Indonesia	90.10	20.89	53.77	60.49	37.44	22.01	43.40	67.08	68.48
75	Vietnam	88.38	27.26	53.91	58.28	38.05	20.59	29.61	85.92	71.09
76	Egypt	86.31	19.99	53.21	46.21	30.10	13.65	49.08	84.35	91.98
77	Peru	83.30	28.81	33.39	56.38	36.26	16.88	48.81	82.69	97.69
78	Sri Lanka	79.78	20.77	58.81	72.63	31.28	35.01	57.20	59.92	59.11
79	Philippines	78.39	19.71	57.84	67.09	40.65	30.14	44.04	74.06	61.03
80	Kenya	75.77	27.67	38.60	55.83	36.30	27.27	57.39	75.88	99.79
81	Bangladesh	65.27	24.07	35.78	42.70	33.31	14.43	58.53	84.91	72.91
82	Iran	64.73	19.00	50.81	52.25	41.34	34.24	47.43	76.13	70.99
83	Nigeria	52.00	9.78	36.14	48.89	29.74	17.74	61.68	87.35	60.75
