Country	2018	2017	2016	C2	C1
Morocco	12.289	10.3	10.2	1.5	-1
South Africa	10.472	10	8.9	12.8	-6.8
Tunisia	8.299	5.7	5.4	6.8	-25.2
Egypt	11.346	5.3	9.1	-42.5	5.1
Zimbabwe	2.567	2.2	2	5.4	9.4
Algeria	0	2.451	1.7	19.2	-25.7
Nigeria	0	1.9	1.3	50.5	0
Mozambique	0	1.447	1.6	5.6	-6.6
Ivory Coast	1.965	1.8	1.4	9.9	205.9
Namibia	0	1.499	1.4	5.8	5.1
Sudan	0	0.813	0.8	0	0
Angola	0	0.261	0.397	0	0
Benin	0.295	0.281	0.267	0	0
Burkina Faso	0.144	0.143	0.152	0	0
Burundi	0	0.299	0.187	0	0
Eritrea	0	0	0.142	0	0
Ethiopia	0	0.933	0.871	0	0
Gambia	0	0.162	0.161	0	0
Kenya	1.475	1.39	1.268	0	0
Madagascar	0.257	0.255	0.293	0	0
Malawi	0	0.837	0.849	0	0
Mali	0.203	0.192	0.173	0	0
Niger	0.157	0.164	0.152	0	0
Rwanda	0	0	0.932	0	0
Seychelles	0.362	0.35	0.303	0	0
Swaziland	0.782	0.921	0.947	0	0
Tanzania	0	1.275	1.233	0	0
Togo	0.573	0.514	0.338	0	0
Uganda	1.85	1.402	1.323	0	0
Zambia	0	1.083	0.956	0	0
USA	79.618	76.9	76.4	0.7	-1.8
Mexico	41.447	39.3	35.1	12	9.3
Canada	21.134	20.8	20	4.1	11.1
Argentina	6.942	6.7	6.6	1	15.7
Brazil	6.621	6.6	6.5	0.6	3.8
Chile	5.723	6.5	5.6	14.3	26
Dominican Republic	6.569	6.2	6	3.8	6.4
Cuba	4.684	4.594	4	0	13.4
Peru	4.419	4	3.7	7.7	8.4
Colombia	3.898	4	3.3	21.4	11.4
Aruba	0	1.071	1.102	0	0
Bahamas	1.627	1.439	1.482	0	0
Barbados	0.68	0.664	0.632	0	0
Bermuda	0.282	0.27	0.244	0	0
Cayman Islands	0.463	0.418	0.385	0	0
Curacao	0.463	0.399	0.441	0	0
Grenada	0.161	0.146	0.135	0	0
Guadeloupe	0	0.65	0.58	0	0
Jamaica	2.473	2.353	2.182	0	0
Puerto Rico	3.068	3.797	3.736	0	0
