number	organism name	kingdom	phylum	class	file	accession number	sequences	base pair	DIV	submitted	updated	BioProject	BioSample	SRA
1	Latimeria chalumnae	Metazoa	Chordata	None	GAAA.gz	GAAA01000001-GAAA01093507	93507	72644207	TSA	2012-05-03	2012-05-15	PRJNA77699	SAMN00767971	SRR401852
2	Agrilus planipennis	Metazoa	Arthropoda	Insecta	GAAB.gz	GAAB01000001-GAAB01011957	11957	6068419	TSA	2012-08-29	2012-12-10	PRJNA173782		SRR547508
3	Camellia sinensis var. sinensis	Viridiplantae	Streptophyta	None	GAAC.gz	GAAC01000001-GAAC01052919	52919	23948363	TSA	2012-09-04	2012-09-25	PRJNA167330		SRR500475
4	Misgurnus anguillicaudatus	Metazoa	Chordata	Actinopteri	GAAD.gz	GAAD01000001-GAAD01011327	11327	9924963	TSA	2012-09-03	2013-03-11	PRJNA173219	SAMN01121008	SRR550147
5	Macrosiphum euphorbiae	Metazoa	Arthropoda	Insecta	GAAF.gz	GAAF01000001-GAAF01000550	550	743732	TSA	2012-08-31	2012-09-26	PRJNA173897		SRR547988
6	Panax ginseng	Viridiplantae	Streptophyta	None	GAAG.gz	GAAG01000001-GAAG01067786	67786	37850091	TSA	2012-08-30	2013-02-12	PRJNA173906		SRR547977
7	Papio hamadryas	Metazoa	Chordata	Mammalia	GAAH.gz	GAAH01000001-GAAH01034959	34959	97726193	TSA	2012-09-06	2013-06-03	PRJNA167997		SRR504484
8	Ovis aries	Metazoa	Chordata	Mammalia	GAAI.gz	GAAI01000001-GAAI01007822	7822	16460205	TSA	2012-09-10	2013-06-03	PRJNA174630		SRR108991
9	Phleum pratense	Viridiplantae	Streptophyta	Liliopsida	GAAJ.gz	GAAJ01000001-GAAJ01000463	463	347604	TSA	2012-09-11	2012-10-24	PRJNA172867	SAMN01113294	SRR542432
10	Belgica antarctica	Metazoa	Arthropoda	Insecta	GAAK.gz	GAAK01000001-GAAK01013259	13259	18916966	TSA	2012-09-12	2012-11-16	PRJNA174315		SRR566981
11	Sparus aurata	Metazoa	Chordata	Actinopteri	GAAL.gz	GAAL01000001-GAAL01000042	42	62557	TSA	2012-09-10	2016-09-12	PRJNA175023		ERR126114
12	Histomonas meleagridis	None	None	None	GAAM.gz	GAAM01000001-GAAM01005711	5711	5072813	TSA	2012-08-15	2012-10-01	PRJNA172876		SRR553451
13	Allium cepa	Viridiplantae	Streptophyta	Liliopsida	GAAN.gz	GAAN01000001-GAAN01033161	33161	43088103	TSA	2012-09-20	2013-01-31	PRJNA175446	SAMN01179348	SRR573713
14	Allium cepa	Viridiplantae	Streptophyta	Liliopsida	GAAO.gz	GAAO01000001-GAAO01026994	26994	32047426	TSA	2012-09-20	2013-01-31	PRJNA175449	SAMN01179349	SRR573753
15	Bactrocera dorsalis	Metazoa	Arthropoda	Insecta	GAAP.gz	GAAP01000001-GAAP01000030	30	39917	TSA	2012-09-21	2012-10-01	PRJNA175481		SRR526902
16	Solea solea	Metazoa	Chordata	Actinopteri	GAAQ.gz	GAAQ01000001-GAAQ01021930	21930	16110560	TSA	2012-09-27	2013-03-27	PRJNA175004	SAMN01165708	SRR567995
17	Oesophagostomum dentatum	Metazoa	Nematoda	Chromadorea	GAAR.gz	GAAR01000001-GAAR01000013	13	59165	TSA	2012-09-24	2013-01-02	PRJNA80747		SRR393670
18	Oesophagostomum dentatum	Metazoa	Nematoda	Chromadorea	GAAS.gz	GAAS01000001-GAAS01000011	11	17728	TSA	2012-09-24	2013-01-02	PRJNA80747		SRR393668
19	Durinskia baltica	None	None	Dinophyceae	GAAT.gz	GAAT01000001-GAAT01005602	5602	6081184	TSA	2012-10-02	2014-03-05	PRJNA173778	SAMN01137125	SRR547647
